bin_lower,bin_upper,bin_center,count,avg_confidence,accuracy
0.0,0.1,0.05,0,,
0.1,0.2,0.15000000000000002,404,0.09999999999999999,0.8514851485148515
0.2,0.30000000000000004,0.25,63,0.1999999999999999,0.8095238095238095
0.30000000000000004,0.4,0.35000000000000003,18,0.30000000000000004,0.8888888888888888
0.4,0.5,0.45,6,0.39999999999999997,0.6666666666666666
0.5,0.6000000000000001,0.55,1032,0.5,0.7810077519379846
0.6000000000000001,0.7000000000000001,0.6500000000000001,467,0.6111349036402569,0.6595289079229122
0.7000000000000001,0.8,0.75,565,0.7016814159292036,0.5256637168141592
0.8,0.9,0.8500000000000001,222,0.8367117117117114,0.7837837837837838
0.9,1.0,0.95,223,0.9302242152466368,0.9641255605381166
