bin_lower,bin_upper,bin_center,count,avg_confidence,accuracy
0.0,0.1,0.05,0,,
0.1,0.2,0.15000000000000002,215,0.1,0.8604651162790697
0.2,0.30000000000000004,0.25,30,0.20000000000000007,0.9
0.30000000000000004,0.4,0.35000000000000003,10,0.3,1.0
0.4,0.5,0.45,5,0.4,0.6
0.5,0.6000000000000001,0.55,504,0.5,0.7837301587301587
0.6000000000000001,0.7000000000000001,0.6500000000000001,251,0.6125498007968128,0.7051792828685259
0.7000000000000001,0.8,0.75,284,0.7014084507042255,0.5352112676056338
0.8,0.9,0.8500000000000001,104,0.8374999999999999,0.7980769230769231
0.9,1.0,0.95,97,0.9308247422680413,0.979381443298969
