target_popularity_group,num_samples,avg_confidence,median_confidence,avg_accuracy,high_conf_fraction,wrong_high_conf_fraction
head,627,0.5876395534290272,0.6000000000000001,0.6555023923444976,0.16108452950558214,0.02073365231259968
mid,1141,0.5595004382120947,0.6000000000000001,0.7808939526730938,0.16213847502191062,0.014899211218229623
tail,1232,0.523538961038961,0.5,0.7410714285714286,0.12905844155844157,0.021103896103896104
