bin_lower,bin_upper,bin_center,count,avg_confidence,accuracy
0.0,0.1,0.05,0,,
0.1,0.2,0.15000000000000002,404,0.09999999999999999,0.1485148514851485
0.2,0.30000000000000004,0.25,63,0.1999999999999999,0.19047619047619047
0.30000000000000004,0.4,0.35000000000000003,18,0.30000000000000004,0.1111111111111111
0.4,0.5,0.45,6,0.39999999999999997,0.3333333333333333
0.5,0.6000000000000001,0.55,1032,0.5,0.2189922480620155
0.6000000000000001,0.7000000000000001,0.6500000000000001,467,0.6111349036402569,0.12419700214132762
0.7000000000000001,0.8,0.75,565,0.7016814159292036,0.1486725663716814
0.8,0.9,0.8500000000000001,222,0.8367117117117114,0.13963963963963963
0.9,1.0,0.95,223,0.9302242152466368,0.11210762331838565
