method,backbone_name,lambda,alpha,beta,normalization,HR@1,HR@3,HR@5,HR@10,NDCG@1,NDCG@3,NDCG@5,NDCG@10,MRR,MRR@10,candidate_pool_size_mean,candidate_pool_size_min,candidate_pool_size_max,hr10_trivial_flag,rank_change_rate,top10_order_change_rate,mean_kendall_tau,base_risk_spearman,relative_NDCG_vs_backbone,relative_MRR_vs_backbone
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.05,0.75,0.25,minmax,0.3505,0.6895,0.8935,1.0,0.3505,0.543174566382148,0.6270665347782042,0.6650026002052084,0.557225,0.557225,6.0,6.0,6.0,True,0.7869166666666667,0.982,0.09913333333333332,0.10017644460573204,0.20935634410979065,0.36074481074481074
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.05,0.9,0.09999999999999998,minmax,0.3455,0.653,0.8695,1.0,0.3455,0.5211807337232192,0.6102808640918373,0.6567659020094343,0.5470666666666666,0.5470666666666666,6.0,6.0,6.0,True,0.7784166666666668,0.9815,0.1343333333333333,0.10017644460573204,0.19437730009627363,0.3359381359381358
C_SASRec_plus_evidence_risk,minimal_sasrec,0.1,1.0,0.0,minmax,0.257,0.468,0.7635,1.0,0.257,0.37578936998750295,0.4958891096360384,0.5801321093870856,0.4493666666666667,0.4493666666666667,6.0,6.0,6.0,True,0.6810833333333334,0.9535,0.4205333333333333,0.10017644460573204,0.05501308820833097,0.09735449735449749
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.1,0.5,0.5,minmax,0.345,0.698,0.911,1.0,0.345,0.5454601449035767,0.6330967310697769,0.6647991707223908,0.556575,0.556575,6.0,6.0,6.0,True,0.7970833333333335,0.9845,0.08713333333333333,0.10017644460573204,0.20898639257043047,0.3591575091575093
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.1,0.75,0.25,minmax,0.346,0.665,0.876,1.0,0.346,0.5282817771214336,0.6151227457977452,0.65929243699914,0.5501500000000001,0.5501500000000001,6.0,6.0,6.0,True,0.7795833333333333,0.9815,0.12566666666666668,0.10017644460573204,0.19897199057939813,0.3434676434676439
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.1,0.9,0.09999999999999998,minmax,0.321,0.601,0.846,1.0,0.321,0.4787409816089325,0.5791950951150265,0.6340510019296619,0.5180583333333334,0.5180583333333334,6.0,6.0,6.0,True,0.7460833333333333,0.971,0.21739999999999998,0.10017644460573204,0.1530685766284017,0.26509971509971536
C_SASRec_plus_evidence_risk,minimal_sasrec,0.2,1.0,0.0,minmax,0.257,0.469,0.7645,1.0,0.257,0.3763548348642887,0.4964326626374047,0.5803194552013439,0.44959166666666667,0.44959166666666667,6.0,6.0,6.0,True,0.6816666666666668,0.954,0.42013333333333325,0.10017644460573204,0.05535379040851146,0.09790394790394798
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.2,0.5,0.5,minmax,0.3435,0.6775,0.895,1.0,0.3435,0.5345910746571483,0.6241437934592591,0.6615455481056015,0.5526749999999999,0.5526749999999999,6.0,6.0,6.0,True,0.7905833333333334,0.9835,0.1098,0.10017644460573204,0.20306943953635356,0.3496336996336995
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.2,0.75,0.25,minmax,0.3485,0.649,0.862,1.0,0.3485,0.519502365941076,0.606876009602243,0.65603260142315,0.5463583333333334,0.5463583333333334,6.0,6.0,6.0,True,0.7760833333333333,0.9825,0.1433333333333333,0.10017644460573204,0.19304373882013923,0.33420838420838445
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.2,0.9,0.09999999999999998,minmax,0.2925,0.5245,0.8005,1.0,0.2925,0.4223130890017888,0.5344090495254427,0.6054723833534931,0.48194166666666666,0.48194166666666666,6.0,6.0,6.0,True,0.7048333333333334,0.962,0.3446666666666666,0.10017644460573204,0.10109624799341813,0.17690272690272696
