method,HR@10_mean,HR@10_std,NDCG@10_mean,NDCG@10_std,MRR@10_mean,MRR@10_std,Recall@10_mean,Recall@10_std,relative_NDCG_vs_bert4rec_mean,relative_NDCG_vs_bert4rec_std,relative_MRR_vs_bert4rec_mean,relative_MRR_vs_bert4rec_std,fallback_rate_mean,fallback_rate_std
A_Bert4Rec_only,1.0,0.0,0.5230836197575035,0.018499023742287957,0.3728160328879753,0.023825489236120836,1.0,0.0,0.0,0.0,0.0,0.0,0.13360739979445016,0.0
B_Bert4Rec_plus_calibrated_relevance,1.0,0.0,0.5844328586952764,0.009859879075380733,0.45211259563777545,0.012753679774257242,1.0,0.0,0.11784361840723713,0.02557058523678996,0.214843557721468,0.05356694342416076,0.13360739979445016,0.0
C_Bert4Rec_plus_evidence_risk,1.0,0.0,0.5364423634924916,0.013623689552494309,0.39029347950211263,0.01740970432350978,1.0,0.0,0.025784576238046326,0.01049051941202845,0.04777382781878723,0.021135372556831372,0.13360739979445016,0.0
D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,1.0,0.0,0.593122520330362,0.0052716132818448206,0.46422861710631497,0.006698886271519588,1.0,0.0,0.1346181830090922,0.030630474737036898,0.2479174460727637,0.06392995189243325,0.13360739979445016,0.0
