domain,backbone,sanity_method,repeat,NDCG@10,MRR,HR@1,HR@3,NDCG@3,NDCG@5,relative_NDCG_vs_backbone,relative_MRR_vs_backbone
books_small,sasrec,shuffled_calibrated_relevance_B,1,0.5571982623608365,0.4154,0.164,0.522,0.36499619860000493,0.5237147867726824,0.0644141371372311,0.12635574837310204
books_small,sasrec,shuffled_calibrated_relevance_D,1,0.5549520328388857,0.41220000000000007,0.156,0.526,0.3640436366285766,0.5264554578702441,0.060123171748557566,0.11767895878524975
books_small,sasrec,random_score_same_distribution_B,1,0.5612541675775371,0.42156666666666665,0.186,0.474,0.3491157440214328,0.5263458632409511,0.07216212047309628,0.14307664497469275
books_small,sasrec,random_score_same_distribution_D,1,0.5687818585851127,0.4315333333333333,0.204,0.488,0.36223528944286076,0.540997697990687,0.08654224559142508,0.17010122921185838
books_small,sasrec,shuffled_calibrated_relevance_B,2,0.5502671998493466,0.40593333333333337,0.148,0.52,0.3562580581071478,0.5267575255002169,0.05117374961097907,0.10068691250903854
books_small,sasrec,shuffled_calibrated_relevance_D,2,0.5559777137616414,0.4135,0.16,0.526,0.3642106200785762,0.5303307962898639,0.062082526879615206,0.12120390455531459
books_small,sasrec,random_score_same_distribution_B,2,0.5623024301014323,0.4221333333333333,0.174,0.538,0.3772106200785762,0.5323810263843585,0.07416461316777496,0.1446131597975416
books_small,sasrec,random_score_same_distribution_D,2,0.5643863389618292,0.42473333333333335,0.176,0.54,0.37947247958571906,0.5373145927416194,0.07814549789292426,0.1516630513376719
books_small,sasrec,shuffled_calibrated_relevance_B,3,0.5539147913691038,0.41113333333333335,0.156,0.526,0.3648292151500053,0.5225685589035978,0.05814173253985831,0.11478669558929878
books_small,sasrec,shuffled_calibrated_relevance_D,3,0.5604993733818815,0.4199333333333333,0.174,0.53,0.3721631820500045,0.5241662402968631,0.07072023942867071,0.1386478669558931
books_small,sasrec,random_score_same_distribution_B,3,0.5529933014500131,0.41020000000000006,0.162,0.528,0.3651631820500045,0.5180849971134271,0.05638141316457213,0.11225596529284194
books_small,sasrec,random_score_same_distribution_D,3,0.5536624847485323,0.411,0.164,0.518,0.36037760352857573,0.5208914235345943,0.057659751973925165,0.11442516268980482
books_small,sasrec,shuffled_calibrated_relevance_B,4,0.5535257480802577,0.4103333333333334,0.156,0.534,0.3659487605714332,0.5243167587373998,0.057398544334547594,0.11261749819233575
books_small,sasrec,shuffled_calibrated_relevance_D,4,0.5589763827901315,0.41770000000000007,0.172,0.538,0.37280644648571826,0.5283425646988417,0.06781087515729423,0.13259219088937124
books_small,sasrec,random_score_same_distribution_B,4,0.5402101688443479,0.3935666666666667,0.146,0.48,0.33106830599286113,0.5117135938757061,0.03196183402819918,0.0671547360809835
books_small,sasrec,random_score_same_distribution_D,4,0.5414458041818578,0.39526666666666666,0.15,0.474,0.32954458697857536,0.5129492292132161,0.034322264435895186,0.07176428054953009
books_small,sasrec,shuffled_calibrated_relevance_B,5,0.5485136729923633,0.40303333333333335,0.134,0.558,0.3703529341642911,0.5228667555205857,0.04782399261691635,0.09282357194504717
books_small,sasrec,shuffled_calibrated_relevance_D,5,0.5533924420240715,0.40936666666666666,0.144,0.578,0.3832580581071478,0.5284579389265097,0.057143890182954536,0.10999638467100516
books_small,sasrec,random_score_same_distribution_B,5,0.550242404849576,0.40643333333333326,0.154,0.5,0.34925805810714783,0.5188961723840702,0.05112638379871987,0.10204266088214019
books_small,sasrec,random_score_same_distribution_D,5,0.553366524533355,0.4101666666666667,0.156,0.522,0.36047247958571904,0.5248699495647132,0.05709438007967311,0.11216558206796834
books_small,gru4rec,shuffled_calibrated_relevance_B,1,0.5091154729143597,0.3551,0.12,0.378,0.2652352894428608,0.4400112786154034,0.11782413081761693,0.2516743038420865
books_small,gru4rec,shuffled_calibrated_relevance_D,1,0.5149685258609967,0.3627666666666666,0.132,0.394,0.27766413240000326,0.45156364655576886,0.1306752111142958,0.2786981553283981
books_small,gru4rec,random_score_same_distribution_B,1,0.5041539240509065,0.3485,0.114,0.378,0.2596166943714316,0.43861180162303043,0.10693045474438637,0.22841029256256573
books_small,gru4rec,random_score_same_distribution_D,1,0.5059464301517137,0.3502666666666667,0.106,0.394,0.2670208679642895,0.44610362271756604,0.11086611704639834,0.23463752790506398
books_small,gru4rec,shuffled_calibrated_relevance_B,2,0.5057910351224628,0.3503,0.112,0.384,0.26266413240000325,0.44879788518517927,0.11052492860733677,0.23475502291152597
books_small,gru4rec,shuffled_calibrated_relevance_D,2,0.50846807304659,0.3537,0.114,0.398,0.27144971092143205,0.4536121662319546,0.11640268669937315,0.24673951357067303
books_small,gru4rec,random_score_same_distribution_B,2,0.49657130525617493,0.3385,0.098,0.388,0.25766413240000324,0.42889193970565076,0.0902819050253564,0.1931617906238983
books_small,gru4rec,random_score_same_distribution_D,2,0.5009572915002023,0.34390000000000004,0.102,0.396,0.26366413240000325,0.43826482656919047,0.09991186428183459,0.21219598167077885
books_small,gru4rec,shuffled_calibrated_relevance_B,3,0.5165820061237498,0.3647666666666667,0.136,0.406,0.28356925634285995,0.4531771268185218,0.1342178007000709,0.2857478557161318
books_small,gru4rec,shuffled_calibrated_relevance_D,3,0.5186227220512294,0.36719999999999997,0.136,0.416,0.2890929753571458,0.45664267149443355,0.1386984374696083,0.29432499118787414
books_small,gru4rec,random_score_same_distribution_B,3,0.510455717463726,0.35710000000000003,0.128,0.372,0.2641404133857175,0.4406391087905536,0.12076679859768354,0.25872400422982006
books_small,gru4rec,random_score_same_distribution_D,3,0.5144189004599283,0.362,0.132,0.384,0.2718785538785745,0.4495891924062683,0.1294684425737374,0.275995770179767
books_small,gru4rec,shuffled_calibrated_relevance_B,4,0.5143760353434316,0.3617,0.128,0.386,0.27192599190714617,0.45239598478663573,0.12937432706529273,0.2749383151216071
books_small,gru4rec,shuffled_calibrated_relevance_D,4,0.519949131825866,0.3688333333333333,0.138,0.414,0.2888311158500029,0.46438081063701453,0.14161072934114324,0.30008224650452314
books_small,gru4rec,random_score_same_distribution_B,4,0.5114886919250604,0.35773333333333335,0.118,0.398,0.27475900845714657,0.4502210557424805,0.12303481801730191,0.2609564093526023
books_small,gru4rec,random_score_same_distribution_D,4,0.5138381204413563,0.36050000000000004,0.114,0.412,0.2829013225428616,0.45328289863299254,0.12819327033090583,0.2707084948889671
books_small,gru4rec,shuffled_calibrated_relevance_B,5,0.5359689099772363,0.38976666666666665,0.158,0.436,0.31454458697857535,0.47683851691730467,0.1767840751548912,0.3738691105628007
books_small,gru4rec,shuffled_calibrated_relevance_D,5,0.540079592791849,0.3949666666666667,0.166,0.436,0.3169734299357178,0.49234782971937413,0.18580957268693005,0.392198331570908
books_small,gru4rec,random_score_same_distribution_B,5,0.512987012040326,0.3605,0.136,0.378,0.26904553732857417,0.44459523211558577,0.12632455967639128,0.27070849488896687
books_small,gru4rec,random_score_same_distribution_D,5,0.5144173294446163,0.3620666666666667,0.134,0.378,0.2693548348642887,0.45599935075890063,0.129464993221048,0.27623076019269166
books_small,bert4rec,shuffled_calibrated_relevance_B,1,0.496750920867245,0.33886666666666665,0.102,0.37,0.2493548348642887,0.4233722403229924,0.09394606570800208,0.20151282354331623
books_small,bert4rec,shuffled_calibrated_relevance_D,1,0.5041266620792687,0.3486,0.114,0.374,0.25866413240000324,0.4364472965287445,0.11018894064115202,0.23602411062522158
books_small,bert4rec,random_score_same_distribution_B,1,0.49762314238498595,0.3403333333333334,0.11,0.356,0.2445218183142883,0.4235320474665174,0.09586687401992787,0.20671315447346655
books_small,bert4rec,random_score_same_distribution_D,1,0.500527737960676,0.3440666666666667,0.112,0.38,0.25856925634285993,0.42928630053907146,0.10226338134185012,0.2199503604774849
books_small,bert4rec,shuffled_calibrated_relevance_B,2,0.49951231210349395,0.3424333333333333,0.106,0.382,0.25735483486428873,0.4304081178045377,0.10002720809119338,0.21415908285072668
books_small,bert4rec,shuffled_calibrated_relevance_D,2,0.50266005121223,0.34626666666666667,0.106,0.38,0.25844971092143204,0.43925517190700214,0.10695916668296673,0.22775085687270996
books_small,bert4rec,random_score_same_distribution_B,2,0.5032136864912683,0.3473333333333333,0.112,0.362,0.25192599190714615,0.43909639281182433,0.10817838361825441,0.23153291573100093
books_small,bert4rec,random_score_same_distribution_D,2,0.5065953407437349,0.3515333333333334,0.114,0.37,0.2579734299357178,0.4474649476838033,0.1156254706988624,0.246424772485522
books_small,bert4rec,shuffled_calibrated_relevance_B,3,0.5082292809528333,0.3541,0.122,0.378,0.26466413240000325,0.4334257716601486,0.1192237377342303,0.2555253516132845
books_small,bert4rec,shuffled_calibrated_relevance_D,3,0.5108091702223024,0.3572000000000001,0.122,0.388,0.2709734299357178,0.4488291196655065,0.12490517605219233,0.2665169601701928
books_small,bert4rec,random_score_same_distribution_B,3,0.5119639529489218,0.3590666666666667,0.132,0.392,0.27456925634285995,0.4457094161468297,0.12744824133393834,0.2731355631722019
books_small,bert4rec,random_score_same_distribution_D,3,0.511815157682629,0.3586666666666667,0.13,0.404,0.2790455373285741,0.4498351071258331,0.12712056404272593,0.2717172911003427
books_small,bert4rec,shuffled_calibrated_relevance_B,4,0.5003423522467888,0.34336666666666665,0.104,0.376,0.2549259919071462,0.43195057232204853,0.10185512447945465,0.21746838435173133
books_small,bert4rec,shuffled_calibrated_relevance_D,4,0.5040696343716218,0.34806666666666664,0.106,0.386,0.2627590084571466,0.44208958381482594,0.1100633540870138,0.2341330811960759
books_small,bert4rec,random_score_same_distribution_B,4,0.5081123121668715,0.3536,0.118,0.39,0.26866413240000325,0.44043294661634724,0.11896614879410282,0.25375251152346057
books_small,bert4rec,random_score_same_distribution_D,4,0.5119042666174197,0.35833333333333334,0.122,0.394,0.27292599190714617,0.45063663043484,0.12731679995198925,0.2705353977071267
books_small,bert4rec,shuffled_calibrated_relevance_B,5,0.49718808541131343,0.3394,0.102,0.368,0.24887855387857452,0.4295087198607892,0.09490879051224761,0.20340385297246172
books_small,bert4rec,shuffled_calibrated_relevance_D,5,0.5036528778862198,0.34773333333333334,0.11,0.38,0.2601878514142891,0.44381007045207216,0.10914557195836103,0.2329511878028601
books_small,bert4rec,random_score_same_distribution_B,5,0.5109645116522863,0.3574333333333334,0.122,0.39,0.2722352894428608,0.44613480359862634,0.1252472693207375,0.26734428554544387
books_small,bert4rec,random_score_same_distribution_D,5,0.5129866764173234,0.36003333333333337,0.124,0.39,0.2740208679642895,0.4488693827378796,0.12970048540147205,0.2765630540125281
electronics_small,sasrec,shuffled_calibrated_relevance_B,1,0.5499928938721917,0.40536666666666665,0.144,0.54,0.36478177712143367,0.5314701201425747,0.07337679044469372,0.14241427900422712
electronics_small,sasrec,shuffled_calibrated_relevance_D,1,0.5577132481377338,0.41536666666666666,0.156,0.562,0.3812580581071478,0.5363408169112525,0.08844398344840781,0.17059652418976026
electronics_small,sasrec,random_score_same_distribution_B,1,0.5278883051414528,0.37756666666666666,0.124,0.474,0.3181157440214329,0.48585585706270623,0.03023704669481514,0.06406763738844509
electronics_small,sasrec,random_score_same_distribution_D,1,0.5320233836185967,0.383,0.13,0.488,0.32863946303571867,0.48785369241720183,0.03830714598788904,0.07937999060591812
electronics_small,sasrec,shuffled_calibrated_relevance_B,2,0.5364968049143093,0.3883666666666667,0.136,0.496,0.33354458697857536,0.5080002299456677,0.04703756168270482,0.09450446218882094
electronics_small,sasrec,shuffled_calibrated_relevance_D,2,0.5455613132018697,0.39973333333333333,0.14,0.532,0.3572106200785762,0.5163523238590119,0.06472803172525404,0.1265382808830435
electronics_small,sasrec,random_score_same_distribution_B,2,0.5585601665711424,0.41736666666666666,0.172,0.526,0.3681157440214328,0.5236518622345563,0.09009684587617543,0.17623297322686687
electronics_small,sasrec,random_score_same_distribution_D,2,0.5638889678055864,0.4244,0.18,0.534,0.37742504155714746,0.5339675640885126,0.10049663763652937,0.19605448567402517
electronics_small,sasrec,shuffled_calibrated_relevance_B,3,0.5378809364077011,0.3897333333333334,0.124,0.514,0.3428292151500053,0.5015478033226828,0.04973885952942853,0.09835603569751052
electronics_small,sasrec,shuffled_calibrated_relevance_D,3,0.5354982189445721,0.38630000000000003,0.116,0.53,0.3468292151500053,0.5020147433564179,0.045088701951748494,0.08868013151714411
electronics_small,sasrec,random_score_same_distribution_B,3,0.5580688987570542,0.4169333333333333,0.174,0.53,0.370592025007147,0.5260102519173322,0.0891380780895188,0.17501174260216043
electronics_small,sasrec,random_score_same_distribution_D,3,0.5647355168039533,0.42560000000000003,0.182,0.526,0.3749487605714332,0.5333892843384473,0.10214877906771008,0.19943635509628924
