method,backbone_name,lambda,alpha,beta,normalization,HR@1,HR@3,HR@5,HR@10,NDCG@1,NDCG@3,NDCG@5,NDCG@10,MRR,MRR@10,Recall@10,positive_rank_mean,positive_rank_median,candidate_pool_size_mean,candidate_pool_size_min,candidate_pool_size_max,hr10_trivial_flag,rank_change_rate,top10_order_change_rate,mean_kendall_tau,base_risk_spearman,relative_NDCG_vs_backbone,relative_MRR_vs_backbone,relative_HR_vs_backbone
D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.5,0.75,0.25,minmax,0.17,0.506,0.89,1.0,0.17,0.36156735564286235,0.519321821297085,0.5585046118789676,0.41763333333333336,0.41763333333333336,1.0,3.368,3.368,6.0,6.0,6.0,True,0.6003333333333333,0.944,0.5645333333333333,-0.02740555383736308,-0.046677427398131556,-0.07336735448561489,0.0
D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.05,0.9,0.09999999999999998,minmax,0.09,0.522,0.912,1.0,0.09,0.3334952482500061,0.4945349532660908,0.5258811857315968,0.37326666666666664,0.37326666666666664,1.0,3.422,3.422,6.0,6.0,6.0,True,0.452,0.802,0.6901333333333333,-0.02740555383736308,-0.10236299897697171,-0.17180681902226172,0.0
D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.1,0.9,0.09999999999999998,minmax,0.092,0.508,0.904,1.0,0.092,0.32801896726429197,0.4911168466187508,0.5253127365811209,0.37283333333333335,0.37283333333333335,1.0,3.456,3.456,6.0,6.0,6.0,True,0.46366666666666667,0.81,0.6837333333333332,-0.02740555383736308,-0.10333329607926761,-0.17276828636935132,0.0
D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.2,0.9,0.09999999999999998,minmax,0.102,0.504,0.896,1.0,0.102,0.3270910746571482,0.4882033052742804,0.5252488527335147,0.37320000000000003,0.37320000000000003,1.0,3.492,3.492,6.0,6.0,6.0,True,0.485,0.862,0.6701333333333334,-0.02740555383736308,-0.10344234068275387,-0.17195473707566,0.0
D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.5,0.9,0.09999999999999998,minmax,0.132,0.496,0.874,1.0,0.132,0.3365199176142908,0.49142738141504005,0.5363094869906508,0.3885,0.3885,1.0,3.5,3.5,6.0,6.0,6.0,True,0.5743333333333333,0.938,0.6,-0.02740555383736308,-0.08456272522327332,-0.13800754382072328,0.0
B_GRU4Rec_plus_calibrated_relevance,llmesr_gru4rec,0.0,0.5,0.5,zscore,0.306,0.602,0.924,1.0,0.306,0.478614793671434,0.6119461477687268,0.6390178939889364,0.5230666666666666,0.5230666666666666,1.0,2.872,2.872,6.0,6.0,6.0,True,0.668,0.964,0.48079999999999995,-0.02740555383736308,0.09075228687310685,0.16056504696398177,0.0
B_GRU4Rec_plus_calibrated_relevance,llmesr_gru4rec,0.0,0.75,0.25,zscore,0.122,0.532,0.924,1.0,0.122,0.35789942184286405,0.5204140124868395,0.5474857587070492,0.4014666666666667,0.4014666666666667,1.0,3.284,3.284,6.0,6.0,6.0,True,0.504,0.866,0.6615999999999999,-0.02740555383736308,-0.06548572589657249,-0.10923748243473108,0.0
B_GRU4Rec_plus_calibrated_relevance,llmesr_gru4rec,0.0,0.9,0.09999999999999998,zscore,0.102,0.526,0.924,1.0,0.102,0.34044781022143444,0.505634107715528,0.5327058539357377,0.38206666666666667,0.38206666666666667,1.0,3.362,3.362,6.0,6.0,6.0,True,0.436,0.78,0.7031999999999998,-0.02740555383736308,-0.09071383778627476,-0.15228163597367056,0.0
C_GRU4Rec_plus_evidence_risk,llmesr_gru4rec,0.05,1.0,0.0,zscore,0.08,0.466,0.892,1.0,0.08,0.2934250415571474,0.46874203764038647,0.5072124138480528,0.34986666666666666,0.34986666666666666,1.0,3.62,3.62,6.0,6.0,6.0,True,0.41733333333333333,0.77,0.7154666666666666,-0.02740555383736308,-0.1342290950857616,-0.22372605576510612,0.0
C_GRU4Rec_plus_evidence_risk,llmesr_gru4rec,0.1,1.0,0.0,zscore,0.08,0.47,0.89,1.0,0.08,0.2956869010642903,0.4685074853007667,0.5076902758826491,0.3504666666666667,0.3504666666666667,1.0,3.616,3.616,6.0,6.0,6.0,True,0.43233333333333324,0.798,0.7079999999999999,-0.02740555383736308,-0.13341342292391944,-0.22239479328452028,0.0
