method,base_score_source,uncertainty_col,lambda,normalization,HR@10,NDCG@10,MRR@10,head_exposure_ratio@10,tail_exposure_ratio@10,long_tail_coverage@10,topk_total_items@10,base_score_col,rank_change_rate,top10_order_change_rate,mean_kendall_tau,base_uncertainty_spearman
day9_day10_stronger_base_evidence_risk,A_relevance_probability,evidence_risk,0.0,minmax,1.0,0.6059567680371164,0.48043850633778695,0.2144570058239123,0.37050359712230213,1.0,5838,relevance_probability,0.0,0.0,1.0,-0.03752439759631296
day9_day10_stronger_base_evidence_risk,A_relevance_probability,evidence_risk,0.05,minmax,1.0,0.6142525302639228,0.4909558067831449,0.2144570058239123,0.37050359712230213,1.0,5838,relevance_probability,0.22062350119904076,0.4933196300102775,0.886125385405961,-0.03752439759631296
day9_day10_stronger_base_evidence_risk,A_relevance_probability,evidence_risk,0.1,minmax,1.0,0.6142525302639228,0.4909558067831449,0.2144570058239123,0.37050359712230213,1.0,5838,relevance_probability,0.22062350119904076,0.4933196300102775,0.886125385405961,-0.03752439759631296
day9_day10_stronger_base_evidence_risk,A_relevance_probability,evidence_risk,0.2,minmax,1.0,0.614207490437778,0.4909044193216855,0.2144570058239123,0.37050359712230213,1.0,5838,relevance_probability,0.22816032887975335,0.5015416238437821,0.8820143884892087,-0.03752439759631296
day9_day10_stronger_base_evidence_risk,A_relevance_probability,evidence_risk,0.5,minmax,1.0,0.6095507888696053,0.4854744775608085,0.2144570058239123,0.37050359712230213,1.0,5838,relevance_probability,0.43302500856457693,0.7780061664953751,0.6986639260020554,-0.03752439759631296
day9_day10_stronger_base_evidence_risk,A_relevance_probability,evidence_risk,0.0,zscore,1.0,0.6059567680371164,0.48043850633778695,0.2144570058239123,0.37050359712230213,1.0,5838,relevance_probability,0.0,0.0,1.0,-0.03752439759631296
day9_day10_stronger_base_evidence_risk,A_relevance_probability,evidence_risk,0.05,zscore,1.0,0.6142525302639228,0.4909558067831449,0.2144570058239123,0.37050359712230213,1.0,5838,relevance_probability,0.22062350119904076,0.4933196300102775,0.886125385405961,-0.03752439759631296
day9_day10_stronger_base_evidence_risk,A_relevance_probability,evidence_risk,0.1,zscore,1.0,0.6142525302639228,0.4909558067831449,0.2144570058239123,0.37050359712230213,1.0,5838,relevance_probability,0.22062350119904076,0.4933196300102775,0.886125385405961,-0.03752439759631296
day9_day10_stronger_base_evidence_risk,A_relevance_probability,evidence_risk,0.2,zscore,1.0,0.6139425402055125,0.4905960945529291,0.2144570058239123,0.37050359712230213,1.0,5838,relevance_probability,0.2314148681055156,0.5046248715313464,0.8802329564919493,-0.03752439759631296
day9_day10_stronger_base_evidence_risk,A_relevance_probability,evidence_risk,0.5,zscore,1.0,0.6091753058432802,0.48496060294621446,0.2144570058239123,0.37050359712230213,1.0,5838,relevance_probability,0.434052757793765,0.7790339157245632,0.7056526207605344,-0.03752439759631296
day9_day10_stronger_base_evidence_risk,B_calibrated_relevance_probability,evidence_risk,0.0,minmax,1.0,0.60634247868655,0.4810722850291196,0.2144570058239123,0.37050359712230213,1.0,5838,calibrated_relevance_probability,0.0,0.0,1.0,-0.04597207363466405
day9_day10_stronger_base_evidence_risk,B_calibrated_relevance_probability,evidence_risk,0.05,minmax,1.0,0.6113374947518504,0.48725590955806786,0.2144570058239123,0.37050359712230213,1.0,5838,calibrated_relevance_probability,0.20280918122644742,0.43782117163412126,0.8944844124700239,-0.04597207363466405
day9_day10_stronger_base_evidence_risk,B_calibrated_relevance_probability,evidence_risk,0.1,minmax,1.0,0.6108371596326537,0.4867420349434738,0.2144570058239123,0.37050359712230213,1.0,5838,calibrated_relevance_probability,0.22987324426173347,0.48715313463514903,0.8776293251113395,-0.04597207363466405
