split,field,count,mean,std,min,q05,q25,q50,q75,q95,max,near_zero_rate,near_one_rate
valid,relevance_probability,12000,0.4595208333333333,0.12608966498596774,0.05,0.15,0.35000000000000003,0.5,0.5,0.65,0.9500000000000001,0.001,0.0016666666666666668
valid,positive_evidence,12000,0.2964125,0.17250188767717206,0.0,0.1,0.2,0.30000000000000004,0.30000000000000004,0.7000000000000001,0.9500000000000001,0.0015,0.0016666666666666668
valid,negative_evidence,12000,0.34560416666666666,0.1698036741552391,0.0,0.1,0.30000000000000004,0.30000000000000004,0.5,0.7000000000000001,0.9500000000000001,0.002,0.001
valid,abs_evidence_margin,12000,0.14514166666666653,0.20176666989283806,0.0,0.0,0.0,0.0,0.2,0.6000000000000001,0.899999999999999,0.5345,0.0
valid,ambiguity,12000,0.4595916666666667,0.15942381020358037,0.0,0.2,0.4,0.4,0.6000000000000001,0.8,0.8,0.002,0.0
valid,missing_information,12000,0.6622458333333334,0.19434414158845395,0.05,0.30000000000000004,0.5,0.7000000000000001,0.8,0.9,1.0,0.00075,0.0003333333333333333
valid,evidence_risk,12000,0.6588986111111108,0.16834613685047722,0.066666666666666,0.33333333333333304,0.5666666666666661,0.7333333333333331,0.799999999999999,0.9,0.9,0.0,0.0
test,relevance_probability,12000,0.45781333333333335,0.1236527098568546,0.05,0.15,0.35000000000000003,0.5,0.5,0.65,0.9500000000000001,0.0006666666666666666,0.0008333333333333334
test,positive_evidence,12000,0.29279583333333337,0.1691469554569357,0.0,0.1,0.2,0.30000000000000004,0.30000000000000004,0.7000000000000001,0.9500000000000001,0.0008333333333333334,0.001
test,negative_evidence,12000,0.3459375,0.17040845346940534,0.0,0.1,0.30000000000000004,0.30000000000000004,0.5,0.7000000000000001,0.9500000000000001,0.0011666666666666668,0.0006666666666666666
test,abs_evidence_margin,12000,0.14225833333333318,0.1973828258204926,0.0,0.0,0.0,0.0,0.2,0.6000000000000001,0.899999999999999,0.5369166666666667,0.0
test,ambiguity,12000,0.4622666666666667,0.1570586445897697,0.0,0.2,0.4,0.4,0.6000000000000001,0.8,0.8,0.0011666666666666668,0.0
test,missing_information,12000,0.66665,0.19093951657942007,0.05,0.30000000000000004,0.5,0.7000000000000001,0.8,0.9,1.0,0.0005,0.00016666666666666666
test,evidence_risk,12000,0.662219444444444,0.1648378423940966,0.066666666666666,0.33333333333333304,0.5666666666666661,0.7333333333333331,0.799999999999999,0.9,0.9,0.0,0.0
