method,backbone_name,lambda,alpha,beta,normalization,HR@10,NDCG@10,MRR@10,Recall@10,rank_change_rate,top10_order_change_rate,mean_kendall_tau,base_risk_spearman,relative_NDCG_vs_backbone,relative_MRR_vs_backbone
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.5,0.9,0.09999999999999998,minmax,1.0,0.5522934667693838,0.410859883521754,1.0,0.5457348406988695,0.9290853031860226,0.6696128811236725,-0.005412980508617966,0.03643307637734884,0.06803811559355248
A_Backbone_only,llmesr_gru4rec,0.0,1.0,0.0,zscore,1.0,0.5328790438643841,0.3846865364850976,1.0,0.0,0.0,0.9999999999999998,-0.005412980508617966,0.0,0.0
B_Backbone_plus_calibrated_relevance,llmesr_gru4rec,0.0,0.5,0.5,zscore,1.0,0.5910291293117967,0.460859883521754,1.0,0.6238437821171634,0.947584789311408,0.5557382665296334,-0.005412980508617966,0.10912436155438611,0.1980140707097694
B_Backbone_plus_calibrated_relevance,llmesr_gru4rec,0.0,0.75,0.25,zscore,1.0,0.5505201914145474,0.40793079821856804,1.0,0.34720794792737236,0.7512846865364851,0.8236382322713257,-0.005412980508617966,0.033105350554286275,0.06042390239558306
B_Backbone_plus_calibrated_relevance,llmesr_gru4rec,0.0,0.9,0.09999999999999998,zscore,1.0,0.5415783661360296,0.3961116820829051,1.0,0.1565604659129839,0.4039054470709147,0.9298389859540938,-0.005412980508617966,0.01632513489094805,0.029699884228337414
C_Backbone_plus_evidence_risk,llmesr_gru4rec,0.0,1.0,0.0,zscore,1.0,0.5328790438643841,0.3846865364850976,1.0,0.0,0.0,0.9999999999999998,-0.005412980508617966,0.0,0.0
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.0,0.5,0.5,zscore,1.0,0.5910291293117967,0.460859883521754,1.0,0.6238437821171634,0.947584789311408,0.5557382665296334,-0.005412980508617966,0.10912436155438611,0.1980140707097694
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.0,0.75,0.25,zscore,1.0,0.5505201914145474,0.40793079821856804,1.0,0.34720794792737236,0.7512846865364851,0.8236382322713257,-0.005412980508617966,0.033105350554286275,0.06042390239558306
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.0,0.9,0.09999999999999998,zscore,1.0,0.5415783661360296,0.3961116820829051,1.0,0.1565604659129839,0.4039054470709147,0.9298389859540938,-0.005412980508617966,0.01632513489094805,0.029699884228337414
C_Backbone_plus_evidence_risk,llmesr_gru4rec,0.05,1.0,0.0,zscore,1.0,0.5355352975144249,0.3882322713257965,1.0,0.09438163754710517,0.2528263103802672,0.9590270640630352,-0.005412980508617966,0.004984721543519261,0.009217205450173795
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.05,0.5,0.5,zscore,1.0,0.5932567567537201,0.4639088729016787,1.0,0.6361767728674204,0.9506680369989723,0.5466940733127783,-0.005412980508617966,0.1133047238102723,0.20593997684566773
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.05,0.75,0.25,zscore,1.0,0.5521842676381736,0.41012332990750255,1.0,0.35611510791366907,0.7615621788283659,0.8176087701267557,-0.005412980508617966,0.036228153454468795,0.06612343040341978
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.05,0.9,0.09999999999999998,zscore,1.0,0.5408394238296643,0.3953922576224735,1.0,0.17951353203151763,0.4511819116135663,0.9188763275094209,-0.005412980508617966,0.014938436887201171,0.027829726600766075
C_Backbone_plus_evidence_risk,llmesr_gru4rec,0.1,1.0,0.0,zscore,1.0,0.5376850916347626,0.39128126070572117,1.0,0.15827338129496402,0.4090441932168551,0.9309352517985611,-0.005412980508617966,0.009019021906970771,0.01714311158607196
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.1,0.5,0.5,zscore,1.0,0.5966688321939766,0.4683967112024666,1.0,0.6375471051730044,0.9516957862281603,0.5447756080849605,-0.005412980508617966,0.11970781937115688,0.2176061982367087
