method,backbone_name,lambda,alpha,beta,normalization,HR@1,HR@3,HR@5,HR@10,NDCG@1,NDCG@3,NDCG@5,NDCG@10,MRR,MRR@10,Recall@10,positive_rank_mean,positive_rank_median,candidate_pool_size_mean,candidate_pool_size_min,candidate_pool_size_max,hr10_trivial_flag,rank_change_rate,top10_order_change_rate,mean_kendall_tau,base_risk_spearman,relative_NDCG_vs_backbone,relative_MRR_vs_backbone,relative_HR_vs_backbone
D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.5,0.75,0.25,minmax,0.188,0.47,0.872,1.0,0.188,0.34366413240000326,0.5093460711029024,0.5549405910527294,0.414,0.414,1.0,3.468,3.468,6.0,6.0,6.0,True,0.589,0.942,0.5922666666666666,0.1055009648461805,0.028726019807884202,0.061266341963599015,0.0
D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.05,0.9,0.09999999999999998,minmax,0.076,0.488,0.904,1.0,0.076,0.30687665317857693,0.4809545462398016,0.5151504362021717,0.3592,0.3592,1.0,3.478,3.478,6.0,6.0,6.0,True,0.41966666666666663,0.784,0.7274666666666666,0.1055009648461805,-0.04503533102302701,-0.07921045885670336,0.0
D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.1,0.9,0.09999999999999998,minmax,0.076,0.47,0.894,1.0,0.076,0.29892409120714863,0.4761844542279273,0.5139424160613777,0.3579,0.3579,1.0,3.514,3.514,6.0,6.0,6.0,True,0.41833333333333333,0.794,0.7359999999999999,0.1055009648461805,-0.04727470902370512,-0.08254293770827995,0.0
D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.2,0.9,0.09999999999999998,minmax,0.08,0.44,0.884,1.0,0.08,0.281734339092862,0.46594293074323223,0.5072629644477628,0.35,0.35,1.0,3.626,3.626,6.0,6.0,6.0,True,0.4536666666666666,0.838,0.7098666666666665,0.1055009648461805,-0.05965680142018751,-0.10279415534478345,0.0
D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_gru4rec,0.5,0.9,0.09999999999999998,minmax,0.104,0.416,0.854,1.0,0.104,0.27754458697857537,0.45864323427043907,0.5106494835882103,0.3555666666666667,0.3555666666666667,1.0,3.706,3.706,6.0,6.0,6.0,True,0.567,0.942,0.6194666666666667,0.1055009648461805,-0.0533790116666087,-0.0885243100059813,0.0
B_GRU4Rec_plus_calibrated_relevance,llmesr_gru4rec,0.0,0.5,0.5,zscore,0.416,0.686,0.918,1.0,0.416,0.5740436366285766,0.6706299930378511,0.6998389823807087,0.6032000000000001,0.6032000000000001,1.0,2.546,2.546,6.0,6.0,6.0,True,0.672,0.946,0.5034666666666666,0.1055009648461805,0.2973326919286373,0.5462701871315049,0.0
B_GRU4Rec_plus_calibrated_relevance,llmesr_gru4rec,0.0,0.75,0.25,zscore,0.12,0.556,0.922,1.0,0.12,0.3683757028285782,0.5211827104911664,0.5489668710855921,0.403,0.403,1.0,3.238,3.238,6.0,6.0,6.0,True,0.4756666666666666,0.864,0.7023999999999999,0.1055009648461805,0.017652183681421827,0.0330684439887209,0.0
B_GRU4Rec_plus_calibrated_relevance,llmesr_gru4rec,0.0,0.9,0.09999999999999998,zscore,0.086,0.518,0.926,1.0,0.086,0.32530549613571946,0.495937976732357,0.5222973085783507,0.3682,0.3682,1.0,3.396,3.396,6.0,6.0,6.0,True,0.39,0.74,0.7565333333333333,0.1055009648461805,-0.031786753261442986,-0.05613945142271206,0.0
C_GRU4Rec_plus_evidence_risk,llmesr_gru4rec,0.05,1.0,0.0,zscore,0.048,0.374,0.872,1.0,0.048,0.22697342993571784,0.4338250232103074,0.47941954316013424,0.3141333333333333,0.3141333333333333,1.0,3.838,3.838,6.0,6.0,6.0,True,0.392,0.75,0.7573333333333333,0.1055009648461805,-0.11127178944029176,-0.19473639237802276,0.0
C_GRU4Rec_plus_evidence_risk,llmesr_gru4rec,0.1,1.0,0.0,zscore,0.048,0.374,0.872,1.0,0.048,0.22697342993571784,0.4337373757086297,0.4793318956584566,0.3140333333333333,0.3140333333333333,1.0,3.84,3.84,6.0,6.0,6.0,True,0.4033333333333333,0.766,0.7493333333333333,0.1055009648461805,-0.11143426677029915,-0.19499273690506724,0.0
