backbone,stratum,method_group,method,lambda,alpha,beta,normalization,NDCG@10,MRR,HR@1,HR@3,NDCG@3,NDCG@5,HR@10,candidate_pool_size_mean,hr10_trivial_flag,relative_NDCG_vs_backbone,relative_MRR_vs_backbone,num_users
gru4rec,fallback_rate_per_user_0_to_0.5,A,A_GRU4Rec_only,0.0,1.0,0.0,minmax,0.5268160562334956,0.3741417497231451,0.09966777408637874,0.5348837209302325,0.33641498058851876,0.5114316926706907,1.0,6.0,True,0.0,0.0,301
gru4rec,fallback_rate_per_user_0_to_0.5,B,B_GRU4Rec_plus_calibrated_relevance,0.0,0.5,0.5,zscore,0.6147318023420687,0.489202657807309,0.23588039867109634,0.6644518272425249,0.47757001486711564,0.5969806136157553,1.0,6.0,True,0.1668812957925623,0.3075329288145625,301
gru4rec,fallback_rate_per_user_0_to_0.5,C,C_GRU4Rec_plus_evidence_risk,0.5,1.0,0.0,minmax,0.5387882804596348,0.39097452934662236,0.132890365448505,0.4883720930232558,0.33064042745610317,0.5103863784975333,1.0,6.0,True,0.022725625167416805,0.044990380346307354,301
gru4rec,fallback_rate_per_user_0_to_0.5,D,D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,0.0,0.5,0.5,zscore,0.6147318023420687,0.489202657807309,0.23588039867109634,0.6644518272425249,0.47757001486711564,0.5969806136157553,1.0,6.0,True,0.1668812957925623,0.3075329288145625,301
gru4rec,fallback_rate_per_user_gt_0.5,A,A_GRU4Rec_only,0.0,1.0,0.0,minmax,0.46444385368781066,0.2990451388888889,0.08333333333333333,0.265625,0.1812984246651801,0.3605500907813042,1.0,6.0,True,0.0,0.0,192
gru4rec,fallback_rate_per_user_gt_0.5,B,B_GRU4Rec_plus_calibrated_relevance,0.0,0.5,0.5,zscore,0.5268158898382375,0.37690972222222224,0.125,0.4739583333333333,0.3213007922619096,0.4600270422554833,1.0,6.0,True,0.13429402855732905,0.2603773584905661,192
gru4rec,fallback_rate_per_user_gt_0.5,C,C_GRU4Rec_plus_evidence_risk,0.5,1.0,0.0,minmax,0.46828111594567257,0.30277777777777776,0.07291666666666667,0.265625,0.17949972033110348,0.38479505646722983,1.0,6.0,True,0.00826205843266737,0.012481857764876541,192
gru4rec,fallback_rate_per_user_gt_0.5,D,D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,0.0,0.5,0.5,zscore,0.5268158898382375,0.37690972222222224,0.125,0.4739583333333333,0.3213007922619096,0.4600270422554833,1.0,6.0,True,0.13429402855732905,0.2603773584905661,192
bert4rec,all_users,A,A_Bert4Rec_only,0.0,1.0,0.0,minmax,0.48621768556037875,0.3234666666666667,0.058,0.414,0.2548538845142899,0.426374878126231,1.0,6.0,True,0.0,0.0,500
bert4rec,all_users,B,B_Bert4Rec_plus_calibrated_relevance,0.0,0.5,0.5,zscore,0.5685818860277657,0.4298333333333333,0.17,0.596,0.4089240912071487,0.5272618523232352,1.0,6.0,True,0.16939778809662187,0.3288334707337179,500
bert4rec,all_users,C,C_Bert4Rec_plus_evidence_risk,0.5,1.0,0.0,minmax,0.49753194686062613,0.33866666666666667,0.082,0.404,0.26211574402143284,0.4398263825491266,1.0,6.0,True,0.02326995014014636,0.04699093157460838,500
bert4rec,all_users,D,D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,0.05,0.5,0.5,zscore,0.5749564240293306,0.4388,0.192,0.574,0.4063054961357195,0.5300743184537198,1.0,6.0,True,0.18250824909151148,0.3565539983511954,500
bert4rec,positive_fallback_false,A,A_Bert4Rec_only,0.0,1.0,0.0,minmax,0.5611910214720786,0.42516339869281045,0.21568627450980393,0.45098039215686275,0.35643858396359057,0.44245529243607123,1.0,6.0,True,0.0,0.0,51
bert4rec,positive_fallback_false,B,B_Bert4Rec_plus_calibrated_relevance,0.0,0.5,0.5,zscore,0.6052705398120349,0.48006535947712414,0.2549019607843137,0.5490196078431373,0.4302005350840399,0.5424104479694427,1.0,6.0,True,0.0785463712949825,0.12913143735588004,51
bert4rec,positive_fallback_false,C,C_Bert4Rec_plus_evidence_risk,0.5,1.0,0.0,minmax,0.5156882358741173,0.36437908496732024,0.11764705882352941,0.43137254901960786,0.30274955469188297,0.40393696148728686,1.0,6.0,True,-0.08108252601511948,-0.142966948501153,51
bert4rec,positive_fallback_false,D,D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,0.05,0.5,0.5,zscore,0.5985245396475242,0.47189542483660135,0.2549019607843137,0.5098039215686274,0.40802544187675643,0.5286799931557552,1.0,6.0,True,0.06652550868956321,0.10991544965411236,51
bert4rec,positive_fallback_true,A,A_Bert4Rec_only,0.0,1.0,0.0,minmax,0.4777017832630587,0.3119153674832962,0.0400890868596882,0.40979955456570155,0.24331531063474798,0.42454837226921127,1.0,6.0,True,0.0,0.0,449
bert4rec,positive_fallback_true,B,B_Bert4Rec_plus_calibrated_relevance,0.0,0.5,0.5,zscore,0.5644145779141849,0.4241276911655531,0.1603563474387528,0.6013363028953229,0.406507390454985,0.5255411877843563,1.0,6.0,True,0.18152076816379736,0.35975246935618255,449
bert4rec,positive_fallback_true,C,C_Bert4Rec_plus_evidence_risk,0.5,1.0,0.0,minmax,0.49546965122657705,0.3357461024498886,0.0779510022271715,0.40089086859688194,0.25750032231944403,0.44390290921762066,1.0,6.0,True,0.03719447694365009,0.07640128525526602,449
bert4rec,positive_fallback_true,D,D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,0.05,0.5,0.5,zscore,0.5722794220326092,0.4350408314773571,0.18485523385300667,0.5812917594654788,0.4061101348154681,0.5302326939329987,1.0,6.0,True,0.19798468852997542,0.39473997381887443,449
bert4rec,fallback_rate_per_user_eq_0,A,A_Bert4Rec_only,0.0,1.0,0.0,minmax,0.5523246596617521,0.4095238095238095,0.14285714285714285,0.42857142857142855,0.3231227867347021,0.5014379186463204,1.0,6.0,True,0.0,0.0,7
bert4rec,fallback_rate_per_user_eq_0,B,B_Bert4Rec_plus_calibrated_relevance,0.0,0.5,0.5,zscore,0.6257037430562647,0.5,0.14285714285714285,0.8571428571428571,0.5748170020408329,0.5748170020408329,1.0,6.0,True,0.1328549832257182,0.22093023255813957,7
bert4rec,fallback_rate_per_user_eq_0,C,C_Bert4Rec_plus_evidence_risk,0.5,1.0,0.0,minmax,0.451553356156491,0.2785714285714285,0.0,0.42857142857142855,0.23298996479592252,0.34977987412562744,1.0,6.0,True,-0.1824494013484284,-0.3197674418604652,7
bert4rec,fallback_rate_per_user_eq_0,D,D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,0.05,0.5,0.5,zscore,0.6685247151279697,0.5595238095238095,0.2857142857142857,0.7142857142857143,0.5561127515306247,0.6176379741125378,1.0,6.0,True,0.21038360941077552,0.3662790697674419,7
bert4rec,fallback_rate_per_user_0_to_0.5,A,A_Bert4Rec_only,0.0,1.0,0.0,minmax,0.506600206563806,0.3479512735326689,0.06312292358803986,0.5116279069767442,0.30955952635263906,0.47228124169293345,1.0,6.0,True,0.0,0.0,301
bert4rec,fallback_rate_per_user_0_to_0.5,B,B_Bert4Rec_plus_calibrated_relevance,0.0,0.5,0.5,zscore,0.5970930902496129,0.46605758582502765,0.2026578073089701,0.6710963455149501,0.4651509434622749,0.5722414260327741,1.0,6.0,True,0.17862780652934723,0.3394334818586885,301
bert4rec,fallback_rate_per_user_0_to_0.5,C,C_Bert4Rec_plus_evidence_risk,0.5,1.0,0.0,minmax,0.5187385793615297,0.36478405315614615,0.08970099667774087,0.4950166112956811,0.3180227756169967,0.4761357264183774,1.0,6.0,True,0.023960457655665904,0.048376830044557416,301
bert4rec,fallback_rate_per_user_0_to_0.5,D,D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,0.05,0.5,0.5,zscore,0.6040067419691987,0.4756367663344408,0.22259136212624583,0.654485049833887,0.46550712532036675,0.5756048400070972,1.0,6.0,True,0.19227496187987517,0.3669637173774666,301
bert4rec,fallback_rate_per_user_gt_0.5,A,A_Bert4Rec_only,0.0,1.0,0.0,minmax,0.4518536874315182,0.28194444444444444,0.046875,0.2604166666666667,0.16660242353050883,0.35167041605738697,1.0,6.0,True,0.0,0.0,192
bert4rec,fallback_rate_per_user_gt_0.5,B,B_Bert4Rec_plus_calibrated_relevance,0.0,0.5,0.5,zscore,0.5218020658716432,0.37048611111111107,0.11979166666666667,0.46875,0.3147286073288736,0.45501321828888913,1.0,6.0,True,0.15480315948672263,0.31403940886699494,192
bert4rec,fallback_rate_per_user_gt_0.5,C,C_Bert4Rec_plus_evidence_risk,0.5,1.0,0.0,minmax,0.46596243515311064,0.2999131944444445,0.07291666666666667,0.2604166666666667,0.17553170206473412,0.38618686720704315,1.0,6.0,True,0.03122415090112707,0.06373152709359618,192
bert4rec,fallback_rate_per_user_gt_0.5,D,D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,0.05,0.5,0.5,zscore,0.526002654562712,0.37664930555555554,0.140625,0.4427083333333333,0.3080328858630989,0.45550331544758255,1.0,6.0,True,0.1640995065298247,0.33589901477832507,192
