num_samples,accuracy,avg_confidence,avg_correctness,brier_score,ece,mce,auroc,split,variant,score_col,status,feature_set,uses_fallback,fallback_reason,total_rows,usable_rows,parse_success_rate,high_conf_threshold,high_conf_error_rate
12000,0.44375,0.4595208333333333,0.44375,0.2189333416666666,0.2941075,0.4358753315649868,0.6376441,valid,raw_relevance_probability,relevance_probability,ready,,False,,12000,12000,1.0,0.8,0.087248322147651
12000,0.8463333333333334,0.1666666666666666,0.8463333333333334,0.1265672548009276,2.1419208999044296e-17,2.775557561562892e-17,0.643234025,valid,calibrated_relevance_probability,calibrated_relevance_probability,ready,,False,,12000,12000,1.0,0.8,0.087248322147651
12000,0.4425,0.4578133333333333,0.4425,0.2202084333333333,0.2912566666666667,0.4233731739707835,0.6270546,test,raw_relevance_probability,relevance_probability,ready,,False,,12000,12000,1.0,0.8,0.1386138613861386
12000,0.8416666666666667,0.1633737520503296,0.8416666666666667,0.1296739445401988,0.0044445782973348,0.0557408707865169,0.6333534,test,calibrated_relevance_probability,calibrated_relevance_probability,ready,,False,,12000,12000,1.0,0.8,0.1386138613861386
12000,0.8459166666666667,0.1666666666666666,0.8459166666666667,0.1253986173779827,1.1807684459815465e-17,1.1102230246251563e-16,0.67067585,valid,evidence_posterior_relevance_minimal,minimal_calibrated_relevance_probability,ready,minimal,False,,12000,12000,1.0,0.8,0.087248322147651
12000,0.8415833333333333,0.1631497854637646,0.8415833333333333,0.1286170235777658,0.005297692088101,0.3333333333333333,0.659806475,test,evidence_posterior_relevance_minimal,minimal_calibrated_relevance_probability,ready,minimal,False,,12000,12000,1.0,0.8,0.1386138613861386
12000,0.846,0.1666666666666666,0.846,0.1253707247044044,2.069756403303795e-17,2.220446049250313e-16,0.664414275,valid,evidence_posterior_relevance_full,full_calibrated_relevance_probability,ready,full,False,,12000,12000,1.0,0.8,0.0785714285714285
12000,0.8408333333333333,0.1632985631359491,0.8408333333333333,0.1283612517249599,0.0063157974631847,0.0746019992595334,0.65746245,test,evidence_posterior_relevance_full,full_calibrated_relevance_probability,ready,full,False,,12000,12000,1.0,0.8,0.1276595744680851
