base_score_source,base_score_AUROC,base_score_NDCG@10,evidence_risk_AUROC_for_error_or_misrank,base_risk_spearman,risk_mean_for_promoted,risk_mean_for_demoted,risk_mean_for_wrong_high_rank,rank_change_rate,best_lambda,normalization
D_hybrid_alpha_0.25,0.6110957834818623,0.6265921105813216,0.49072095704544044,-0.07712245408546137,0.35082101805911337,0.5204467354041237,0.4269539935060544,0.06800274066461116,0.1,zscore
C_plain_rank_score,0.6039044964292845,0.6247147027777011,0.49836684164119976,-0.08038700702815249,0.32865013772727275,0.5112094395353983,0.4293042153423565,0.040082219938335044,0.2,zscore
D_hybrid_alpha_0.5,0.6144378169465602,0.6245823365954346,0.4882904623158095,-0.06474821391102457,0.3731770833296875,0.5111979166718751,0.42591731266697674,0.043850633778691334,0.05,zscore
D_hybrid_alpha_0.75,0.6143305000691855,0.6228480771923256,0.49966390186730025,-0.02981028048329571,,,0.4290587219404145,0.0,0.0,minmax
A_relevance_probability,0.6007391766809721,0.6059567680371164,0.5093431790244932,-0.03752439759631296,0.3878036175733333,0.44121306376454117,0.43141423794285716,0.22062350119904076,0.05,minmax
B_calibrated_relevance_probability,0.6010137008584294,0.60634247868655,0.5072677141776721,-0.04597207363466405,0.3966439135349829,0.46905555555416667,0.43097731239776293,0.20315176430284343,0.05,zscore
