method,backbone_name,lambda,alpha,beta,normalization,HR@1,HR@3,HR@5,HR@10,NDCG@1,NDCG@3,NDCG@5,NDCG@10,MRR,MRR@10,Recall@10,positive_rank_mean,positive_rank_median,candidate_pool_size_mean,candidate_pool_size_min,candidate_pool_size_max,hr10_trivial_flag,rank_change_rate,top10_order_change_rate,mean_kendall_tau,base_risk_spearman,relative_NDCG_vs_backbone,relative_MRR_vs_backbone,relative_HR_vs_backbone
D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.1,0.9,0.09999999999999998,minmax,0.086,0.482,0.848,1.0,0.086,0.30468690106429036,0.45582860619500215,0.5099720986354215,0.3537666666666667,0.3537666666666667,1.0,3.64,4.0,6.0,6.0,6.0,True,0.369,0.718,0.7709333333333332,0.08383576731227602,0.0488555101562485,0.09367271228359438,0.0
C_Bert4Rec_plus_evidence_risk,llmesr_bert4rec,0.2,1.0,0.0,minmax,0.072,0.432,0.844,1.0,0.072,0.27006830599286114,0.43891759275468417,0.49448591394353564,0.3342,0.3342,1.0,3.794,4.0,6.0,6.0,6.0,True,0.3543333333333334,0.702,0.7949333333333333,0.08383576731227602,0.017005198759126854,0.033182192910140094,0.0
D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.2,0.5,0.5,minmax,0.204,0.538,0.86,1.0,0.204,0.39194876057143324,0.5247542296586597,0.5746232358537827,0.4391333333333333,0.4391333333333333,1.0,3.308,3.0,6.0,6.0,6.0,True,0.6516666666666666,0.926,0.5007999999999999,0.08383576731227602,0.18182298365291716,0.35758450123660335,0.0
D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.2,0.75,0.25,minmax,0.118,0.484,0.85,1.0,0.118,0.32430549613571946,0.47492131625636513,0.5283523943225684,0.3781666666666667,0.3781666666666667,1.0,3.562,4.0,6.0,6.0,6.0,True,0.4953333333333333,0.854,0.6733333333333332,0.08383576731227602,0.08665811634068452,0.16910552349546587,0.0
D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.2,0.9,0.09999999999999998,minmax,0.092,0.456,0.854,1.0,0.092,0.29259202500714704,0.45549948745762026,0.5075057367753915,0.35113333333333335,0.35113333333333335,1.0,3.704,4.0,6.0,6.0,6.0,True,0.39133333333333337,0.756,0.7618666666666666,0.08383576731227602,0.04378296357212441,0.08553173948887058,0.0
C_Bert4Rec_plus_evidence_risk,llmesr_bert4rec,0.5,1.0,0.0,minmax,0.082,0.404,0.838,1.0,0.082,0.26211574402143284,0.4398263825491266,0.49753194686062613,0.33866666666666667,0.33866666666666667,1.0,3.82,4.0,6.0,6.0,6.0,True,0.4756666666666666,0.844,0.7010666666666666,0.08383576731227602,0.02326995014014636,0.04699093157460838,0.0
D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.5,0.5,0.5,minmax,0.17,0.484,0.848,1.0,0.17,0.3445445869785754,0.49421140648139644,0.5483548989218158,0.40523333333333333,0.40523333333333333,1.0,3.508,4.0,6.0,6.0,6.0,True,0.6233333333333333,0.912,0.5034666666666666,0.08383576731227602,0.12779710653639065,0.25278235779060176,0.0
D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.5,0.75,0.25,minmax,0.134,0.414,0.85,1.0,0.134,0.2897115704285749,0.46793297206570467,0.521364050131908,0.37043333333333334,0.37043333333333334,1.0,3.716,4.0,6.0,6.0,6.0,True,0.528,0.886,0.6370666666666666,0.08383576731227602,0.07228524509761947,0.1451978565539983,0.0
D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.5,0.9,0.09999999999999998,minmax,0.094,0.408,0.838,1.0,0.094,0.2701157440214328,0.446103676316833,0.5038092406283325,0.347,0.347,1.0,3.792,4.0,6.0,6.0,6.0,True,0.49799999999999994,0.86,0.6786666666666665,0.08383576731227602,0.03618040970204335,0.07275350370981026,0.0
A_Bert4Rec_only,llmesr_bert4rec,0.0,1.0,0.0,zscore,0.058,0.414,0.832,1.0,0.058,0.2548538845142899,0.426374878126231,0.48621768556037875,0.3234666666666667,0.3234666666666667,1.0,3.856,4.0,6.0,6.0,6.0,True,0.0,0.0,0.9999999999999998,0.08383576731227602,0.0,0.0,0.0
