backbone_name,backbone_score_AUROC,calibrated_relevance_AUROC,evidence_risk_AUROC_for_error_or_misrank,backbone_risk_spearman,fallback_rate,best_method,best_relative_NDCG_vs_backbone,best_relative_MRR_vs_backbone,best_lambda,best_alpha,best_beta,best_normalization,best_NDCG@10,best_MRR,backbone_NDCG@10,backbone_MRR,candidate_pool_size_mean,hr10_trivial_flag
bm25,0.665548125,0.659806475,0.45246949215335325,-0.057630213214796285,0.0,D_Backbone_plus_calibrated_relevance_plus_evidence_risk,0.06582963405381739,0.10516998276672412,0.05,0.5,0.5,minmax,0.6890744671647554,0.5878583333333333,0.6465146446941085,0.5319166666666666,6.0,True
tfidf_cosine,0.697730675,0.659806475,0.4584032964202936,0.03419916291742577,0.0,D_Backbone_plus_calibrated_relevance_plus_evidence_risk,0.04281758076926026,0.06472179551664627,0.05,0.5,0.5,minmax,0.7377605785239799,0.6526833333333334,0.7074684893399596,0.6130083333333333,6.0,True
