method_group,setting,lambda,normalization,base_score_col,uncertainty_col,HR@10,NDCG@10,MRR@10,head_exposure_ratio@10,tail_exposure_ratio@10,long_tail_coverage@10,relative_NDCG_improvement_vs_monotonic,relative_MRR_improvement_vs_monotonic,rank_change_rate,top10_change_rate,top10_order_change_rate,mean_kendall_tau,base_uncertainty_spearman
decoupled_A,A,0.0,minmax,raw_confidence,minimal_evidence_uncertainty,1.0,0.5804045526918287,0.4475334018499486,0.2144570058239123,0.3705035971223021,1.0,0.16235893589601538,0.3054361946637351,0.0,0.0,0.0,1.0,0.9097309123684544
decoupled_A,A,0.1,minmax,raw_confidence,minimal_evidence_uncertainty,1.0,0.5857450115841812,0.4538711887632751,0.2144570058239123,0.3705035971223021,1.0,0.1730541140894354,0.32392325372239406,0.2416923603973963,0.0,0.5046248715313464,0.869133264816718,0.9097309123684544
decoupled_A,A,0.2,minmax,raw_confidence,minimal_evidence_uncertainty,1.0,0.5849681122484535,0.4528091812264475,0.2144570058239123,0.3705035971223021,1.0,0.17149824089549384,0.3208254222044568,0.2511133949982871,0.0,0.5231243576567317,0.863103802672148,0.9097309123684544
decoupled_A,A,0.5,minmax,raw_confidence,minimal_evidence_uncertainty,1.0,0.5820512473410432,0.4489208633093525,0.2144570058239123,0.3705035971223021,1.0,0.16565672229574221,0.30948336164684687,0.3117505995203837,0.0,0.5981500513874615,0.8136348064405617,0.9097309123684544
decoupled_A,A,1.0,minmax,raw_confidence,minimal_evidence_uncertainty,1.0,0.5386944421504163,0.3928742720109626,0.2144570058239123,0.3705035971223021,1.0,0.07882733801283456,0.1459978015389223,0.8102089756766016,0.0,0.9835560123329908,0.3189448441247002,0.9097309123684544
decoupled_A,A,0.0,zscore,raw_confidence,minimal_evidence_uncertainty,1.0,0.5804045526918287,0.4475334018499486,0.2144570058239123,0.3705035971223021,1.0,0.16235893589601538,0.3054361946637351,0.0,0.0,0.0,1.0,0.9097309123684544
decoupled_A,A,0.1,zscore,raw_confidence,minimal_evidence_uncertainty,1.0,0.5865036349067476,0.4548989379924631,0.2144570058239123,0.3705035971223021,1.0,0.17457338645536455,0.3269211551913656,0.2418636519355944,0.0,0.5046248715313464,0.8689962315861596,0.9097309123684544
decoupled_A,A,0.2,zscore,raw_confidence,minimal_evidence_uncertainty,1.0,0.5849051202235275,0.4527406646111682,0.2144570058239123,0.3705035971223021,1.0,0.17137208864061693,0.3206255621065251,0.2514559780746831,0.0,0.5231243576567317,0.8633778691332648,0.9097309123684544
decoupled_A,A,0.5,zscore,raw_confidence,minimal_evidence_uncertainty,1.0,0.5824803310279508,0.4495032545392258,0.2144570058239123,0.3705035971223021,1.0,0.1665160354341578,0.31118217247926433,0.3081534772182254,0.0,0.5991778006166495,0.8173347036656389,0.9097309123684544
decoupled_A,A,1.0,zscore,raw_confidence,minimal_evidence_uncertainty,1.0,0.5467886825164822,0.4032202809181227,0.2144570058239123,0.3705035971223021,1.0,0.09503743246359672,0.17617667632657125,0.7735525865022268,0.0,0.9691675231243576,0.3437478588557726,0.9097309123684544
decoupled_B,B,0.0,minmax,raw_confidence,evidence_risk,1.0,0.5804045526918287,0.4475334018499486,0.2144570058239123,0.3705035971223021,1.0,0.16235893589601538,0.3054361946637351,0.0,0.0,0.0,1.0,-0.2929935955187009
decoupled_B,B,0.1,minmax,raw_confidence,evidence_risk,1.0,0.5941543774152056,0.4645083932853717,0.2144570058239123,0.3705035971223021,1.0,0.18989530093674079,0.3549515339262513,0.3189448441247002,0.0,0.6413155190133607,0.8097978759849264,-0.2929935955187009
decoupled_B,B,0.2,minmax,raw_confidence,evidence_risk,1.0,0.5944291158608105,0.4648681055155875,0.2144570058239123,0.3705035971223021,1.0,0.19044551145077268,0.3560007994403913,0.3389859540938678,0.0,0.6752312435765673,0.794998287084618,-0.2929935955187009
decoupled_B,B,0.5,minmax,raw_confidence,evidence_risk,1.0,0.5941969706492649,0.4648338472079479,0.2144570058239123,0.3705035971223021,1.0,0.18998060113982834,0.3559008693914256,0.4917780061664953,0.0,0.8376156217882836,0.6628982528263104,-0.2929935955187009
decoupled_B,B,1.0,minmax,raw_confidence,evidence_risk,1.0,0.5913135821892146,0.4614080164439876,0.2144570058239123,0.3705035971223021,1.0,0.18420612482558332,0.3459078644948531,0.5688591983556013,0.0,0.894141829393628,0.5699897225077081,-0.2929935955187009
decoupled_B,B,0.0,zscore,raw_confidence,evidence_risk,1.0,0.5804045526918287,0.4475334018499486,0.2144570058239123,0.3705035971223021,1.0,0.16235893589601538,0.3054361946637351,0.0,0.0,0.0,1.0,-0.2929935955187009
