setting,normalization,num_lambda,best_NDCG@10,best_MRR@10,mean_NDCG@10,mean_MRR@10,std_NDCG@10,std_MRR@10,best_lambda,best_rank_change_rate,best_relative_NDCG_improvement_vs_monotonic,best_relative_MRR_improvement_vs_monotonic
B,zscore,5,0.5952117925676461,0.4658787255909558,0.5911238011967381,0.4609181226447413,0.005481602104340513,0.006822889228282364,0.1,0.3247687564234326,0.19201295481400746,0.3589487358848802
B,minmax,5,0.5944291158608105,0.4648681055155875,0.5908997197612649,0.4606303528605687,0.005371054097938437,0.006675357612196255,0.2,0.3389859540938678,0.19044551145077268,0.3560007994403913
A,zscore,5,0.5865036349067476,0.4548989379924631,0.5762164642733073,0.44157930798218564,0.014859939921220576,0.019347576310931005,0.1,0.2418636519355944,0.17457338645536455,0.3269211551913656
A,minmax,5,0.5857450115841812,0.4538711887632751,0.5743726732031845,0.43920178143199723,0.017943654314685926,0.02328290111262154,0.1,0.2416923603973963,0.1730541140894354,0.32392325372239406
C,zscore,5,0.539204980238129,0.3942788626241864,0.5174641931709811,0.366296676944159,0.012785771469929794,0.016493141250170627,1.0,0.5996916752312436,0.07984977745721163,0.15009493354651723
C,minmax,5,0.535300832710451,0.389140116478246,0.516698240052449,0.3652757793764988,0.01161087193660744,0.014956407343012993,1.0,0.5942103460089072,0.07203105731656803,0.1351054262016586
