method,backbone_name,lambda,alpha,beta,normalization,HR@10,NDCG@10,MRR@10,Recall@10,rank_change_rate,top10_order_change_rate,mean_kendall_tau,base_risk_spearman,relative_NDCG_vs_backbone,relative_MRR_vs_backbone
B_Backbone_plus_calibrated_relevance,llmesr_bert4rec,0.0,0.5,0.5,zscore,1.0,0.5874093418856892,0.45583333333333337,1.0,0.6633333333333333,0.99,0.544,0.08868777691373587,0.12997296970770628,0.23811679492983268
B_Backbone_plus_calibrated_relevance,llmesr_bert4rec,0.0,0.75,0.25,zscore,1.0,0.5381447525137847,0.3911666666666666,1.0,0.3483333333333333,0.78,0.8106666666666665,0.08868777691373587,0.03520489166642341,0.06247170665459475
B_Backbone_plus_calibrated_relevance,llmesr_bert4rec,0.0,0.9,0.09999999999999998,zscore,1.0,0.5296496824255784,0.38016666666666665,1.0,0.19,0.47,0.9173333333333332,0.08868777691373587,0.018863306861812718,0.032593933906745164
C_Backbone_plus_evidence_risk,llmesr_bert4rec,0.0,1.0,0.0,zscore,1.0,0.5198437109850833,0.36816666666666664,1.0,0.0,0.0,0.9999999999999999,0.08868777691373587,0.0,0.0
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.0,0.5,0.5,zscore,1.0,0.5874093418856892,0.45583333333333337,1.0,0.6633333333333333,0.99,0.544,0.08868777691373587,0.12997296970770628,0.23811679492983268
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.0,0.75,0.25,zscore,1.0,0.5381447525137847,0.3911666666666666,1.0,0.3483333333333333,0.78,0.8106666666666665,0.08868777691373587,0.03520489166642341,0.06247170665459475
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.0,0.9,0.09999999999999998,zscore,1.0,0.5296496824255784,0.38016666666666665,1.0,0.19,0.47,0.9173333333333332,0.08868777691373587,0.018863306861812718,0.032593933906745164
C_Backbone_plus_evidence_risk,llmesr_bert4rec,0.05,1.0,0.0,zscore,1.0,0.5295966193186163,0.3808333333333333,1.0,0.075,0.21,0.9693333333333333,0.08868777691373587,0.01876123174607934,0.0344047080126754
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.05,0.5,0.5,zscore,1.0,0.5858396324496461,0.45400000000000007,1.0,0.655,0.98,0.5426666666666666,0.08868777691373587,0.1269533901631764,0.2331371661385245
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.05,0.75,0.25,zscore,1.0,0.5406369812675414,0.39416666666666667,1.0,0.3633333333333333,0.8,0.8026666666666666,0.08868777691373587,0.03999908019095916,0.0706201901312812
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.05,0.9,0.09999999999999998,zscore,1.0,0.5258770541279829,0.37566666666666665,1.0,0.19833333333333333,0.52,0.9053333333333333,0.08868777691373587,0.011606071239116576,0.020371208691715728
C_Backbone_plus_evidence_risk,llmesr_bert4rec,0.1,1.0,0.0,zscore,1.0,0.5302609910115345,0.3814999999999999,1.0,0.13,0.36,0.9413333333333331,0.08868777691373587,0.020039253733994036,0.03621548211860549
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.1,0.5,0.5,zscore,1.0,0.580073981258055,0.446,1.0,0.6733333333333333,0.98,0.5333333333333333,0.08868777691373587,0.11586226590841638,0.2114078768673609
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.1,0.75,0.25,zscore,1.0,0.5321755637017037,0.38283333333333325,1.0,0.36,0.78,0.8079999999999999,0.08868777691373587,0.02372223123225254,0.03983703033046611
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.1,0.9,0.09999999999999998,zscore,1.0,0.5251838197087169,0.3748333333333333,1.0,0.23666666666666664,0.59,0.8866666666666664,0.08868777691373587,0.010272527320786966,0.01810774105930282
C_Backbone_plus_evidence_risk,llmesr_bert4rec,0.2,1.0,0.0,zscore,1.0,0.5374670958525327,0.39099999999999996,1.0,0.2583333333333333,0.61,0.8706666666666665,0.08868777691373587,0.033901313981569176,0.06201901312811223
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.2,0.5,0.5,zscore,1.0,0.5939291890965388,0.4651666666666667,1.0,0.6583333333333334,0.97,0.5226666666666667,0.08868777691373587,0.1425149069728408,0.2634676324128566
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.2,0.75,0.25,zscore,1.0,0.5235261510078624,0.37183333333333324,1.0,0.4033333333333334,0.8,0.7706666666666665,0.08868777691373587,0.007083744488898379,0.009959257582616378
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.2,0.9,0.09999999999999998,zscore,1.0,0.5285293017217805,0.3786666666666666,1.0,0.3116666666666667,0.68,0.8373333333333332,0.08868777691373587,0.016708080819595406,0.028519692168401868
C_Backbone_plus_evidence_risk,llmesr_bert4rec,0.5,1.0,0.0,zscore,1.0,0.5251206792665698,0.3746666666666667,1.0,0.4983333333333333,0.93,0.7106666666666663,0.08868777691373587,0.010151066887943776,0.017655047532820448
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.5,0.5,0.5,zscore,1.0,0.5884457937255989,0.45833333333333337,1.0,0.6816666666666665,0.95,0.424,0.08868777691373587,0.13196674556381063,0.24490719782707127
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.5,0.75,0.25,zscore,1.0,0.5640508008837186,0.4260000000000001,1.0,0.6066666666666667,0.96,0.5866666666666667,0.08868777691373587,0.085039193443092,0.1570846536894526
D_Backbone_plus_calibrated_relevance_plus_evidence_risk,llmesr_bert4rec,0.5,0.9,0.09999999999999998,zscore,1.0,0.5327649863504288,0.3846666666666667,1.0,0.5333333333333333,0.96,0.6746666666666665,0.08868777691373587,0.02485607710990709,0.04481665912177475
