noise_type,noise_level,method,clean_NDCG,noisy_NDCG,NDCG_drop,clean_MRR,noisy_MRR,MRR_drop,clean_ECE,noisy_ECE,ECE_change,mean_evidence_risk_change,high_conf_error_change
history_dropout,0.1,A_SASRec_only,0.5501692086746005,0.5501692086746005,0.0,0.4067666666666667,0.4067666666666667,0.0,0.006531965209614444,0.007291362392383534,0.00075939718276909,0.0008499999999999064,0.0
history_dropout,0.1,B_SASRec_plus_calibrated_relevance,0.6225681870787687,0.6127532382618299,0.009814948816938784,0.5021333333333333,0.4890333333333333,0.0131,0.006531965209614444,0.007291362392383534,0.00075939718276909,0.0008499999999999064,0.0
history_dropout,0.1,D_SASRec_plus_calibrated_relevance_plus_evidence_risk,0.6217653712797317,0.6163147335893935,0.005450637690338267,0.5011,0.49373333333333336,0.0073666666666666325,0.006531965209614444,0.007291362392383534,0.00075939718276909,0.0008499999999999064,0.0
history_dropout,0.2,A_SASRec_only,0.5501692086746005,0.5501692086746005,0.0,0.4067666666666667,0.4067666666666667,0.0,0.006531965209614444,0.006988057458520501,0.0004560922489060572,0.0029666666666666175,0.0
history_dropout,0.2,B_SASRec_plus_calibrated_relevance,0.6225681870787687,0.615831049741001,0.006737137337767707,0.5021333333333333,0.4930666666666667,0.009066666666666612,0.006531965209614444,0.006988057458520501,0.0004560922489060572,0.0029666666666666175,0.0
history_dropout,0.2,D_SASRec_plus_calibrated_relevance_plus_evidence_risk,0.6217653712797317,0.6188218830962345,0.0029434881834972115,0.5011,0.4970666666666667,0.004033333333333278,0.006531965209614444,0.006988057458520501,0.0004560922489060572,0.0029666666666666175,0.0
history_dropout,0.3,A_SASRec_only,0.5501692086746005,0.5501692086746005,0.0,0.4067666666666667,0.4067666666666667,0.0,0.006531965209614444,0.015344919716976177,0.008812954507361734,0.001333333333333353,0.0
history_dropout,0.3,B_SASRec_plus_calibrated_relevance,0.6225681870787687,0.6119238353144242,0.010644351764344528,0.5021333333333333,0.4881333333333333,0.014000000000000012,0.006531965209614444,0.015344919716976177,0.008812954507361734,0.001333333333333353,0.0
history_dropout,0.3,D_SASRec_plus_calibrated_relevance_plus_evidence_risk,0.6217653712797317,0.6174893462009743,0.004276025078757462,0.5011,0.49520000000000003,0.005899999999999961,0.006531965209614444,0.015344919716976177,0.008812954507361734,0.001333333333333353,0.0
candidate_text_dropout,0.1,A_SASRec_only,0.5501692086746005,0.5501692086746005,0.0,0.4067666666666667,0.4067666666666667,0.0,0.006531965209614444,0.00958886292725068,0.003056897717636237,-0.0013500000000000179,0.0
candidate_text_dropout,0.1,B_SASRec_plus_calibrated_relevance,0.6225681870787687,0.6130024740112838,0.009565713067484882,0.5021333333333333,0.4890333333333334,0.013099999999999945,0.006531965209614444,0.00958886292725068,0.003056897717636237,-0.0013500000000000179,0.0
candidate_text_dropout,0.1,D_SASRec_plus_calibrated_relevance_plus_evidence_risk,0.6217653712797317,0.60841421178261,0.013351159497121734,0.5011,0.48306666666666664,0.018033333333333346,0.006531965209614444,0.00958886292725068,0.003056897717636237,-0.0013500000000000179,0.0
candidate_text_dropout,0.2,A_SASRec_only,0.5501692086746005,0.5501692086746005,0.0,0.4067666666666667,0.4067666666666667,0.0,0.006531965209614444,0.01167330231262517,0.005141337103010727,-0.0028722222222222205,0.0
candidate_text_dropout,0.2,B_SASRec_plus_calibrated_relevance,0.6225681870787687,0.6139016034407084,0.008666583638060277,0.5021333333333333,0.49023333333333335,0.011899999999999966,0.006531965209614444,0.01167330231262517,0.005141337103010727,-0.0028722222222222205,0.0
candidate_text_dropout,0.2,D_SASRec_plus_calibrated_relevance_plus_evidence_risk,0.6217653712797317,0.6142146014749241,0.007550769804807622,0.5011,0.4907,0.010399999999999965,0.006531965209614444,0.01167330231262517,0.005141337103010727,-0.0028722222222222205,0.0
candidate_text_dropout,0.3,A_SASRec_only,0.5501692086746005,0.5501692086746005,0.0,0.4067666666666667,0.4067666666666667,0.0,0.006531965209614444,0.014601378673562418,0.008069413463947975,-0.0020499999999999963,0.0
candidate_text_dropout,0.3,B_SASRec_plus_calibrated_relevance,0.6225681870787687,0.6092232968276323,0.013344890251136388,0.5021333333333333,0.4844,0.017733333333333323,0.006531965209614444,0.014601378673562418,0.008069413463947975,-0.0020499999999999963,0.0
candidate_text_dropout,0.3,D_SASRec_plus_calibrated_relevance_plus_evidence_risk,0.6217653712797317,0.6120393064715688,0.00972606480816296,0.5011,0.48783333333333334,0.013266666666666649,0.006531965209614444,0.014601378673562418,0.008069413463947975,-0.0020499999999999963,0.0
history_swap_noise,0.1,A_SASRec_only,0.5501692086746005,0.5501692086746005,0.0,0.4067666666666667,0.4067666666666667,0.0,0.006531965209614444,0.009752715148327496,0.003220749938713053,0.008711111111111114,0.0
history_swap_noise,0.1,B_SASRec_plus_calibrated_relevance,0.6225681870787687,0.6074735998603898,0.015094587218378863,0.5021333333333333,0.4823,0.019833333333333314,0.006531965209614444,0.009752715148327496,0.003220749938713053,0.008711111111111114,0.0
history_swap_noise,0.1,D_SASRec_plus_calibrated_relevance_plus_evidence_risk,0.6217653712797317,0.6074137575772274,0.014351613702504373,0.5011,0.48210000000000003,0.01899999999999996,0.006531965209614444,0.009752715148327496,0.003220749938713053,0.008711111111111114,0.0
history_swap_noise,0.2,A_SASRec_only,0.5501692086746005,0.5501692086746005,0.0,0.4067666666666667,0.4067666666666667,0.0,0.006531965209614444,0.010821440261657036,0.0042894750520425925,0.008811111111111158,0.0
history_swap_noise,0.2,B_SASRec_plus_calibrated_relevance,0.6225681870787687,0.5999407166664021,0.022627470412366568,0.5021333333333333,0.4722666666666667,0.029866666666666597,0.006531965209614444,0.010821440261657036,0.0042894750520425925,0.008811111111111158,0.0
history_swap_noise,0.2,D_SASRec_plus_calibrated_relevance_plus_evidence_risk,0.6217653712797317,0.6011073544598292,0.020658016819902536,0.5011,0.4734666666666667,0.027633333333333288,0.006531965209614444,0.010821440261657036,0.0042894750520425925,0.008811111111111158,0.0
history_swap_noise,0.3,A_SASRec_only,0.5501692086746005,0.5501692086746005,0.0,0.4067666666666667,0.4067666666666667,0.0,0.006531965209614444,0.011746897945912688,0.005214932736298244,0.008450000000000013,0.0
history_swap_noise,0.3,B_SASRec_plus_calibrated_relevance,0.6225681870787687,0.6015553059325025,0.021012881146266205,0.5021333333333333,0.4739666666666667,0.028166666666666618,0.006531965209614444,0.011746897945912688,0.005214932736298244,0.008450000000000013,0.0
history_swap_noise,0.3,D_SASRec_plus_calibrated_relevance_plus_evidence_risk,0.6217653712797317,0.6119792346517381,0.009786136627993658,0.5011,0.4875,0.013600000000000001,0.006531965209614444,0.011746897945912688,0.005214932736298244,0.008450000000000013,0.0
