backbone,setting,users,candidate_rows,fallback_rate_mean,method,NDCG@10_mean,NDCG@10_std,MRR@10_mean,MRR@10_std,HR@10_mean,HR@10_std,relative_NDCG_vs_backbone_mean,relative_NDCG_vs_backbone_std,relative_MRR_vs_backbone_mean,relative_MRR_vs_backbone_std,claim_level
minimal_sasrec,SASRec full multi-seed,973,5838,0.08838643371017471,A_SASRec_only,0.5446339551000305,0.0028272444764244,0.399571771154505,0.0038239085543178,1.0,0.0,0.0,0.0,0.0,0.0,full_multiseed_validation
minimal_sasrec,SASRec full multi-seed,973,5838,0.08838643371017471,B_SASRec_plus_calibrated_relevance,0.6052841046994109,0.001637216309808,0.4789768185451639,0.0023469024479278,1.0,0.0,0.1113886028932815,0.0085457975549705,0.198831509665873,0.0169017666797244,full_multiseed_validation
minimal_sasrec,SASRec full multi-seed,973,5838,0.08838643371017471,C_SASRec_plus_evidence_risk,0.5560325835622358,0.0047823571891413,0.4146340070800502,0.0065338310961011,1.0,0.0,0.0209634034307321,0.0124476333742541,0.0378126162966916,0.0231335445960287,full_multiseed_validation
minimal_sasrec,SASRec full multi-seed,973,5838,0.08838643371017471,D_SASRec_plus_calibrated_relevance_plus_evidence_risk,0.6098952985924221,0.00235704882139,0.4853146054584903,0.0032891692388248,1.0,0.0,0.1198559329720144,0.009246947023791,0.2146954843909826,0.01817253124306,full_multiseed_validation
llmesr_gru4rec,LLM-ESR GRU4Rec full multi-seed,973,5838,0.13360739979445016,A_GRU4Rec_only,0.5347038252309285,0.006643759375539951,0.3872559095580678,0.008832333872426353,1.0,0.0,0.0,0.0,0.0,0.0,full_multiseed_validation
llmesr_gru4rec,LLM-ESR GRU4Rec full multi-seed,973,5838,0.13360739979445016,B_GRU4Rec_plus_calibrated_relevance,0.5919794995363593,0.0035956378995108287,0.46221308667351835,0.004928941915272942,1.0,0.0,0.10717461247364601,0.006999306699221343,0.19377828533918964,0.014369282791479861,full_multiseed_validation
llmesr_gru4rec,LLM-ESR GRU4Rec full multi-seed,973,5838,0.13360739979445016,C_GRU4Rec_plus_evidence_risk,0.5453996583443498,0.0032568645687615933,0.401809980586959,0.00436623217257382,1.0,0.0,0.020058939112737297,0.006868683528925973,0.03777258236730669,0.012694178139730408,full_multiseed_validation
llmesr_gru4rec,LLM-ESR GRU4Rec full multi-seed,973,5838,0.13360739979445016,D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,0.6037383473477781,0.0024702529535787746,0.4778348749571772,0.0032326938536170993,1.0,0.0,0.12918880652085685,0.009944365955739115,0.23420838445395184,0.020611877524427284,full_multiseed_validation
