domain,backbone,stratum,method_group,method,lambda,alpha,beta,normalization,NDCG@10,MRR,HR@1,HR@3,NDCG@3,NDCG@5,HR@10,candidate_pool_size_mean,hr10_trivial_flag,relative_NDCG_vs_backbone,relative_MRR_vs_backbone,num_users
books_small,sasrec,cold_positive_subset,A,A_SASRec_only,0.0,1.0,0.0,minmax,0.5212570402127894,0.3657044673539519,0.06391752577319587,0.5608247422680412,0.34098670902798867,0.509505875277267,1.0,6.0,True,0.0,0.0,485
books_small,sasrec,cold_positive_subset,B,B_SASRec_plus_calibrated_relevance,0.0,0.5,0.5,minmax,0.7263492185621462,0.6370790378006872,0.44948453608247424,0.777319587628866,0.6371583882768831,0.7123947102012134,1.0,6.0,True,0.3934568984730323,0.7420597632024053,485
books_small,sasrec,cold_positive_subset,C,C_SASRec_plus_evidence_risk,0.5,1.0,0.0,minmax,0.5515683081076649,0.40625429553264597,0.12371134020618557,0.5835051546391753,0.38276373893962357,0.5295348738535605,1.0,6.0,True,0.058150328065596404,0.11088141326818243,485
books_small,sasrec,cold_positive_subset,D,D_SASRec_plus_calibrated_relevance_plus_evidence_risk,0.05,0.5,0.5,minmax,0.7289950060840134,0.6407216494845361,0.4577319587628866,0.7649484536082474,0.6342866578424206,0.7172438411484909,1.0,6.0,True,0.3985326812783582,0.7520202969366662,485
books_small,gru4rec,cold_positive_subset,A,A_GRU4Rec_only,0.0,1.0,0.0,minmax,0.45071860451074086,0.2775170068027211,0.014285714285714285,0.3224489795918367,0.1806587115597695,0.3882006084060676,1.0,6.0,True,0.0,0.0,490
books_small,gru4rec,cold_positive_subset,B,B_GRU4Rec_plus_calibrated_relevance,0.0,0.5,0.5,zscore,0.682894041519092,0.5813265306122449,0.39183673469387753,0.6836734693877551,0.55886418475948,0.6429116021498242,1.0,6.0,True,0.5151228165084948,1.0947420026964088,490
books_small,gru4rec,cold_positive_subset,C,C_GRU4Rec_plus_evidence_risk,0.5,1.0,0.0,minmax,0.48666838622779823,0.3244557823129252,0.0673469387755102,0.3877551020408163,0.24411764228863342,0.4292390642246681,1.0,6.0,True,0.07976103350799373,0.16913837480083344,490
books_small,gru4rec,cold_positive_subset,D,D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,0.05,0.5,0.5,zscore,0.6824904265941295,0.5810204081632653,0.39591836734693875,0.6714285714285714,0.5534465342128324,0.6446888475540945,1.0,6.0,True,0.5142273244632958,1.0936389263390118,490
books_small,bert4rec,cold_positive_subset,A,A_Bert4Rec_only,0.0,1.0,0.0,minmax,0.4526593407304833,0.28006802721088436,0.0163265306122449,0.3448979591836735,0.19317081309767045,0.3879604842965772,1.0,6.0,True,0.0,0.0,490
books_small,bert4rec,cold_positive_subset,B,B_Bert4Rec_plus_calibrated_relevance,0.0,0.5,0.5,zscore,0.6714752529156791,0.5663265306122449,0.37142857142857144,0.6551020408163265,0.5351759995772645,0.6300389066602562,1.0,6.0,True,0.48340085467380295,1.0221034734029633,490
