domain,backbone,stratum,method_group,method,lambda,alpha,beta,normalization,NDCG@10,MRR,HR@1,HR@3,NDCG@3,NDCG@5,HR@10,candidate_pool_size_mean,hr10_trivial_flag,relative_NDCG_vs_backbone,relative_MRR_vs_backbone,num_users
books_small,sasrec,fallback_rate_per_user_gt_0.5,D,D_SASRec_plus_calibrated_relevance_plus_evidence_risk,0.05,0.5,0.5,minmax,0.7023401885044013,0.6048611111111111,0.3958333333333333,0.75,0.6001936986607204,0.6912087139072755,1.0,6.0,True,0.358278183349141,0.669381887877336,96
books_small,gru4rec,all_users,A,A_GRU4Rec_only,0.0,1.0,0.0,minmax,0.45545221191635415,0.28370000000000006,0.022,0.332,0.18930739683571704,0.3934721613595583,1.0,6.0,True,0.0,0.0,500
books_small,gru4rec,all_users,B,B_GRU4Rec_plus_calibrated_relevance,0.0,0.5,0.5,zscore,0.6868099281790729,0.5865333333333334,0.4,0.686,0.5636869010642904,0.6469147232229744,1.0,6.0,True,0.507973636332254,1.067442133709317,500
books_small,gru4rec,all_users,C,C_GRU4Rec_plus_evidence_risk,0.5,1.0,0.0,minmax,0.49040570423136387,0.3293666666666667,0.074,0.392,0.2494971489500037,0.4334125542940803,1.0,6.0,True,0.07674458790734577,0.16096815885324858,500
books_small,gru4rec,all_users,D,D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,0.05,0.5,0.5,zscore,0.6864756767928627,0.5862999999999999,0.404,0.674,0.5583776035285757,0.6494301293336284,1.0,6.0,True,0.5072397472930421,1.066619668664081,500
books_small,gru4rec,positive_fallback_false,A,A_GRU4Rec_only,0.0,1.0,0.0,minmax,0.6873989747914021,0.5866666666666667,0.4,0.8,0.6130929753571458,0.6517782560805999,1.0,6.0,True,0.0,0.0,10
books_small,gru4rec,positive_fallback_false,B,B_GRU4Rec_plus_calibrated_relevance,0.0,0.5,0.5,zscore,0.8786883745181416,0.8416666666666666,0.8,0.8,0.8,0.8430676558073393,1.0,6.0,True,0.27828001894356647,0.4346590909090907,10
books_small,gru4rec,positive_fallback_false,C,C_GRU4Rec_plus_evidence_risk,0.5,1.0,0.0,minmax,0.6735342864060807,0.5700000000000001,0.4,0.6,0.5130929753571458,0.6379135676952785,1.0,6.0,True,-0.020169783333658264,-0.028409090909090808,10
books_small,gru4rec,positive_fallback_false,D,D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,0.05,0.5,0.5,zscore,0.8817529365307936,0.845,0.8,0.8,0.8,0.8817529365307936,1.0,6.0,True,0.2827382188027994,0.44034090909090906,10
books_small,gru4rec,positive_fallback_true,A,A_GRU4Rec_only,0.0,1.0,0.0,minmax,0.45071860451074086,0.2775170068027211,0.014285714285714285,0.3224489795918367,0.1806587115597695,0.3882006084060676,1.0,6.0,True,0.0,0.0,490
books_small,gru4rec,positive_fallback_true,B,B_GRU4Rec_plus_calibrated_relevance,0.0,0.5,0.5,zscore,0.682894041519092,0.5813265306122449,0.39183673469387753,0.6836734693877551,0.55886418475948,0.6429116021498242,1.0,6.0,True,0.5151228165084948,1.0947420026964088,490
books_small,gru4rec,positive_fallback_true,C,C_GRU4Rec_plus_evidence_risk,0.5,1.0,0.0,minmax,0.48666838622779823,0.3244557823129252,0.0673469387755102,0.3877551020408163,0.24411764228863342,0.4292390642246681,1.0,6.0,True,0.07976103350799373,0.16913837480083344,490
books_small,gru4rec,positive_fallback_true,D,D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,0.05,0.5,0.5,zscore,0.6824904265941295,0.5810204081632653,0.39591836734693875,0.6714285714285714,0.5534465342128324,0.6446888475540945,1.0,6.0,True,0.5142273244632958,1.0936389263390118,490
books_small,gru4rec,fallback_rate_per_user_eq_0,A,A_GRU4Rec_only,0.0,1.0,0.0,minmax,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,True,0.0,0.0,1
books_small,gru4rec,fallback_rate_per_user_eq_0,B,B_GRU4Rec_plus_calibrated_relevance,0.0,0.5,0.5,zscore,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,True,0.0,0.0,1
books_small,gru4rec,fallback_rate_per_user_eq_0,C,C_GRU4Rec_plus_evidence_risk,0.5,1.0,0.0,minmax,0.5,0.3333333333333333,0.0,1.0,0.5,0.5,1.0,6.0,True,-0.5,-0.6666666666666667,1
books_small,gru4rec,fallback_rate_per_user_eq_0,D,D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,0.05,0.5,0.5,zscore,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,True,0.0,0.0,1
