split,field,count,mean,std,min,q05,q25,q50,q75,q95,max,near_zero_rate,near_one_rate
valid,relevance_probability,5838,0.42916923603973967,0.21923116658462274,0.05,0.15,0.25,0.35000000000000003,0.65,0.75,0.9500000000000001,0.001541623843782117,0.0008564576909900651
valid,positive_evidence,5838,0.4032545392257622,0.2556181018081957,0.0,0.1,0.2,0.30000000000000004,0.7000000000000001,0.8,0.9500000000000001,0.0020554984583761563,0.001199040767386091
valid,negative_evidence,5838,0.46841384035628647,0.18544129040766194,0.0,0.2,0.30000000000000004,0.5,0.6000000000000001,0.7000000000000001,0.9500000000000001,0.0013703323055841042,0.001541623843782117
valid,abs_evidence_margin,5838,0.3981329222336413,0.1905487638242612,0.0,0.099999999999999,0.2,0.399999999999999,0.6000000000000001,0.7000000000000001,0.899999999999999,0.0008564576909900651,0.0
valid,ambiguity,5838,0.2961031175059952,0.11306532027022717,0.0,0.1,0.2,0.30000000000000004,0.4,0.5,0.8,0.001199040767386091,0.0
valid,missing_information,5838,0.38733299075025696,0.12347807412428922,0.1,0.2,0.30000000000000004,0.4,0.5,0.6000000000000001,1.0,0.0,0.00017129153819801302
valid,evidence_risk,5838,0.4284343953408698,0.12395252499948489,0.08333333333333301,0.23333333333333303,0.33333333333333304,0.433333333333333,0.533333333333333,0.6000000000000001,0.9,0.0,0.0
test,relevance_probability,5838,0.42702809181226453,0.21743640747512832,0.05,0.15,0.25,0.35000000000000003,0.65,0.75,0.9500000000000001,0.001541623843782117,0.00034258307639602604
test,positive_evidence,5838,0.4002398081534772,0.25351551336415307,0.0,0.1,0.2,0.30000000000000004,0.7000000000000001,0.8,0.9500000000000001,0.0020554984583761563,0.00034258307639602604
test,negative_evidence,5838,0.4698955121616992,0.18400892162712948,0.0,0.2,0.30000000000000004,0.5,0.6000000000000001,0.7000000000000001,0.9500000000000001,0.0006851661527920521,0.001541623843782117
test,abs_evidence_margin,5838,0.3954350805070226,0.18935878423861116,0.0,0.099999999999999,0.2,0.399999999999999,0.6000000000000001,0.7000000000000001,0.899999999999999,0.0008564576909900651,0.0
test,ambiguity,5838,0.29762761219595757,0.11298255532877562,0.0,0.1,0.2,0.30000000000000004,0.4,0.5,0.8,0.0005138746145940391,0.0
test,missing_information,5838,0.38883179170948956,0.12265398821756239,0.1,0.2,0.30000000000000004,0.4,0.5,0.6000000000000001,1.0,0.0,0.00034258307639602604
test,evidence_risk,5838,0.4303414411328077,0.1229746875240989,0.08333333333333301,0.23333333333333303,0.33333333333333304,0.433333333333333,0.533333333333333,0.6000000000000001,0.9,0.0,0.0
