method,backbone_name,lambda,alpha,beta,normalization,HR@1,HR@3,HR@5,HR@10,NDCG@1,NDCG@3,NDCG@5,NDCG@10,MRR,MRR@10,Recall@10,positive_rank_mean,positive_rank_median,candidate_pool_size_mean,candidate_pool_size_min,candidate_pool_size_max,hr10_trivial_flag,rank_change_rate,top10_order_change_rate,mean_kendall_tau,base_risk_spearman,relative_NDCG_vs_backbone,relative_MRR_vs_backbone,relative_HR_vs_backbone
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.1,0.9,0.09999999999999998,minmax,0.132,0.608,0.95,1.0,0.132,0.40142314085714986,0.5439815586276543,0.5617919179830553,0.41910000000000003,0.41910000000000003,1.0,3.096,3.0,6.0,6.0,6.0,True,0.3103333333333333,0.67,0.8159999999999998,0.00042267791269299425,0.03824081246792413,0.06777070063694271,0.0
C_SASRec_plus_evidence_risk,minimal_sasrec,0.2,1.0,0.0,minmax,0.128,0.58,0.934,1.0,0.128,0.3812333887428632,0.5281710976951491,0.5516807720442785,0.40653333333333336,0.40653333333333336,1.0,3.214,3.0,6.0,6.0,6.0,True,0.339,0.706,0.8098666666666665,0.00042267791269299425,0.01955452660580884,0.03575371549893845,0.0
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.2,0.5,0.5,minmax,0.224,0.628,0.928,1.0,0.224,0.4558519838142923,0.5800590436406813,0.6057059611124588,0.4779666666666667,0.4779666666666667,1.0,2.954,3.0,6.0,6.0,6.0,True,0.6266666666666667,0.928,0.5375999999999999,0.00042267791269299425,0.11939782159883608,0.2177494692144374,0.0
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.2,0.75,0.25,minmax,0.152,0.62,0.948,1.0,0.152,0.4166375623357211,0.5528159182864872,0.5713386920161043,0.4318666666666667,0.4318666666666667,1.0,3.062,3.0,6.0,6.0,6.0,True,0.44133333333333336,0.826,0.7178666666666665,0.00042267791269299425,0.05588408947359206,0.10029723991507429,0.0
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.2,0.9,0.09999999999999998,minmax,0.14,0.59,0.936,1.0,0.14,0.3945901243071495,0.5382577157982036,0.5610549757731169,0.41873333333333335,0.41873333333333335,1.0,3.154,3.0,6.0,6.0,6.0,True,0.3583333333333334,0.736,0.7893333333333332,0.00042267791269299425,0.03687887853064846,0.06683651804670912,0.0
C_SASRec_plus_evidence_risk,minimal_sasrec,0.5,1.0,0.0,minmax,0.128,0.528,0.896,1.0,0.128,0.3549715292357203,0.5070622349842566,0.5441077824434909,0.3977,0.3977,1.0,3.364,3.0,6.0,6.0,6.0,True,0.519,0.894,0.6717333333333332,0.00042267791269299425,0.005558976609003852,0.013248407643312057,0.0
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.5,0.5,0.5,minmax,0.21,0.578,0.912,1.0,0.21,0.4175673556428624,0.5551903534202587,0.5865365858857646,0.4537333333333333,0.4537333333333333,1.0,3.14,3.0,6.0,6.0,6.0,True,0.604,0.912,0.5271999999999998,0.00042267791269299425,0.08397113233402945,0.15600849256900204,0.0
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.5,0.75,0.25,minmax,0.162,0.54,0.904,1.0,0.162,0.3774478102214345,0.5276405147343218,0.5618364046966919,0.42116666666666663,0.42116666666666663,1.0,3.276,3.0,6.0,6.0,6.0,True,0.5413333333333333,0.908,0.6357333333333333,0.00042267791269299425,0.03832302782245607,0.0730360934182589,0.0
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.5,0.9,0.09999999999999998,minmax,0.138,0.528,0.898,1.0,0.138,0.35970966972857743,0.5127493760949382,0.5490825091799565,0.4043,0.4043,1.0,3.34,3.0,6.0,6.0,6.0,True,0.521,0.896,0.6623999999999999,0.00042267791269299425,0.01475270860005348,0.030063694267515866,0.0
A_SASRec_only,minimal_sasrec,0.0,1.0,0.0,zscore,0.108,0.586,0.93,1.0,0.108,0.37370966972857733,0.5161653180967738,0.5410998211943354,0.3925,0.3925,1.0,3.264,3.0,6.0,6.0,6.0,True,0.0,0.0,0.9999999999999998,0.00042267791269299425,0.0,0.0,0.0
B_SASRec_plus_calibrated_relevance,minimal_sasrec,0.0,0.5,0.5,zscore,0.212,0.67,0.938,1.0,0.212,0.47556545494286484,0.5864291024192936,0.6085139480199909,0.48079999999999995,0.48079999999999995,1.0,2.87,3.0,6.0,6.0,6.0,True,0.546,0.8,0.6472,0.00042267791269299425,0.12458722805869085,0.22496815286624186,0.0
B_SASRec_plus_calibrated_relevance,minimal_sasrec,0.0,0.75,0.25,zscore,0.132,0.668,0.948,1.0,0.132,0.4369221905071511,0.5533045466871713,0.5718273204167885,0.4315333333333333,0.4315333333333333,1.0,2.986,3.0,6.0,6.0,6.0,True,0.3453333333333334,0.652,0.8015999999999999,0.00042267791269299425,0.05678711767937797,0.09944798301486193,0.0
B_SASRec_plus_calibrated_relevance,minimal_sasrec,0.0,0.9,0.09999999999999998,zscore,0.128,0.652,0.948,1.0,0.128,0.42299429790000737,0.5466180690159127,0.5651408427455299,0.4229333333333333,0.4229333333333333,1.0,3.032,3.0,6.0,6.0,6.0,True,0.25066666666666665,0.51,0.8562666666666665,0.00042267791269299425,0.04442991959991827,0.07753715498938409,0.0
C_SASRec_plus_evidence_risk,minimal_sasrec,0.0,1.0,0.0,zscore,0.108,0.586,0.93,1.0,0.108,0.37370966972857733,0.5161653180967738,0.5410998211943354,0.3925,0.3925,1.0,3.264,3.0,6.0,6.0,6.0,True,0.0,0.0,0.9999999999999998,0.00042267791269299425,0.0,0.0,0.0
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.0,0.5,0.5,zscore,0.212,0.67,0.938,1.0,0.212,0.47556545494286484,0.5864291024192936,0.6085139480199909,0.48079999999999995,0.48079999999999995,1.0,2.87,3.0,6.0,6.0,6.0,True,0.546,0.8,0.6472,0.00042267791269299425,0.12458722805869085,0.22496815286624186,0.0
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.0,0.75,0.25,zscore,0.132,0.668,0.948,1.0,0.132,0.4369221905071511,0.5533045466871713,0.5718273204167885,0.4315333333333333,0.4315333333333333,1.0,2.986,3.0,6.0,6.0,6.0,True,0.3453333333333334,0.652,0.8015999999999999,0.00042267791269299425,0.05678711767937797,0.09944798301486193,0.0
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.0,0.9,0.09999999999999998,zscore,0.128,0.652,0.948,1.0,0.128,0.42299429790000737,0.5466180690159127,0.5651408427455299,0.4229333333333333,0.4229333333333333,1.0,3.032,3.0,6.0,6.0,6.0,True,0.25066666666666665,0.51,0.8562666666666665,0.00042267791269299425,0.04442991959991827,0.07753715498938409,0.0
C_SASRec_plus_evidence_risk,minimal_sasrec,0.05,1.0,0.0,zscore,0.114,0.602,0.942,1.0,0.114,0.3875901243071495,0.5289365989547962,0.5495966158070615,0.4032,0.4032,1.0,3.176,3.0,6.0,6.0,6.0,True,0.2263333333333333,0.522,0.8813333333333333,0.00042267791269299425,0.015702822806283108,0.027261146496815252,0.0
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.05,0.5,0.5,zscore,0.22,0.67,0.932,1.0,0.22,0.47747057888572153,0.5861884045220985,0.610410493245444,0.4834666666666667,0.4834666666666667,1.0,2.872,3.0,6.0,6.0,6.0,True,0.5726666666666668,0.884,0.6005333333333333,0.00042267791269299425,0.12809221022864797,0.23176220806794062,0.0
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.05,0.75,0.25,zscore,0.146,0.664,0.952,1.0,0.146,0.4385180169142932,0.5583457855589006,0.5754437305400857,0.43653333333333333,0.43653333333333333,1.0,2.98,3.0,6.0,6.0,6.0,True,0.394,0.768,0.7530666666666666,0.00042267791269299425,0.0634705612541973,0.11218683651804666,0.0
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.05,0.9,0.09999999999999998,zscore,0.136,0.634,0.948,1.0,0.136,0.41668500036429285,0.5478856545221639,0.5664084282517811,0.4249,0.4249,1.0,3.048,3.0,6.0,6.0,6.0,True,0.2966666666666667,0.636,0.8170666666666666,0.00042267791269299425,0.04677252896070739,0.0825477707006369,0.0
C_SASRec_plus_evidence_risk,minimal_sasrec,0.1,1.0,0.0,zscore,0.116,0.592,0.942,1.0,0.116,0.3835901243071495,0.5291557170338527,0.5498157338861178,0.4036,0.4036,1.0,3.184,3.0,6.0,6.0,6.0,True,0.264,0.59,0.86,0.00042267791269299425,0.01610777226380212,0.02828025477707006,0.0
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.1,0.5,0.5,zscore,0.22,0.656,0.932,1.0,0.22,0.4681138433214353,0.5825981982658066,0.6068202869891521,0.479,0.479,1.0,2.91,3.0,6.0,6.0,6.0,True,0.5796666666666668,0.896,0.5933333333333333,0.00042267791269299425,0.12145719370181289,0.22038216560509544,0.0
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.1,0.75,0.25,zscore,0.142,0.64,0.952,1.0,0.142,0.4237324383928644,0.5531952644178116,0.5702932093989967,0.4300666666666666,0.4300666666666666,1.0,3.034,3.0,6.0,6.0,6.0,True,0.4033333333333333,0.782,0.7514666666666666,0.00042267791269299425,0.05395194576155026,0.09571125265392759,0.0
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.1,0.9,0.09999999999999998,zscore,0.134,0.606,0.948,1.0,0.134,0.3998519838142923,0.5425856965881523,0.5611084703177693,0.41829999999999995,0.41829999999999995,1.0,3.106,3.0,6.0,6.0,6.0,True,0.29233333333333333,0.632,0.8253333333333333,0.00042267791269299425,0.03697774114814914,0.06573248407643295,0.0
C_SASRec_plus_evidence_risk,minimal_sasrec,0.2,1.0,0.0,zscore,0.124,0.574,0.934,1.0,0.124,0.37649524825000613,0.5261046640524101,0.5496143384015395,0.40379999999999994,0.40379999999999994,1.0,3.224,3.0,6.0,6.0,6.0,True,0.3346666666666666,0.702,0.8143999999999999,0.00042267791269299425,0.01573557571763844,0.02878980891719725,0.0
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.2,0.5,0.5,zscore,0.214,0.62,0.926,1.0,0.214,0.4452808267714349,0.5721595934479417,0.5985189252939355,0.4685666666666667,0.4685666666666667,1.0,2.996,3.0,6.0,6.0,6.0,True,0.5926666666666667,0.918,0.58,0.00042267791269299425,0.10611554809399584,0.19380042462845012,0.0
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.2,0.75,0.25,zscore,0.142,0.6,0.948,1.0,0.142,0.4016375623357211,0.5466047444513105,0.5651275181809277,0.42373333333333335,0.42373333333333335,1.0,3.098,3.0,6.0,6.0,6.0,True,0.4126666666666666,0.79,0.7402666666666666,0.00042267791269299425,0.04440529463409806,0.07957537154989384,0.0
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.2,0.9,0.09999999999999998,zscore,0.132,0.59,0.938,1.0,0.132,0.39006640529286357,0.5346829974017422,0.5567678430024395,0.413,0.413,1.0,3.168,3.0,6.0,6.0,6.0,True,0.3516666666666666,0.722,0.7975999999999999,0.00042267791269299425,0.02895588058691478,0.05222929936305723,0.0
C_SASRec_plus_evidence_risk,minimal_sasrec,0.5,1.0,0.0,zscore,0.122,0.534,0.908,1.0,0.122,0.3554952482500061,0.5102576608486604,0.5430287220625984,0.3959666666666667,0.3959666666666667,1.0,3.34,3.0,6.0,6.0,6.0,True,0.5,0.884,0.6869333333333332,0.00042267791269299425,0.0035647782400029023,0.008832271762208084,0.0
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.5,0.5,0.5,zscore,0.206,0.568,0.922,1.0,0.206,0.4074250415571474,0.5528727429809124,0.580656903575338,0.4461666666666667,0.4461666666666667,1.0,3.18,3.0,6.0,6.0,6.0,True,0.5953333333333334,0.916,0.5575999999999999,0.00042267791269299425,0.07310496295062653,0.13673036093418267,0.0
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.5,0.75,0.25,zscore,0.16,0.548,0.902,1.0,0.16,0.37992409120714865,0.5261606201460128,0.5610689244825989,0.42006666666666664,0.42006666666666664,1.0,3.272,3.0,6.0,6.0,6.0,True,0.5326666666666667,0.902,0.6525333333333333,0.00042267791269299425,0.03690465697103165,0.07023354564755828,0.0
D_SASRec_plus_calibrated_relevance_plus_evidence_risk,minimal_sasrec,0.5,0.9,0.09999999999999998,zscore,0.13,0.54,0.902,1.0,0.13,0.36275710775714903,0.5120884591538896,0.5469967634904758,0.4013333333333334,0.4013333333333334,1.0,3.334,3.0,6.0,6.0,6.0,True,0.5036666666666666,0.884,0.6778666666666665,0.00042267791269299425,0.010898067353126088,0.022505307855626395,0.0
