method,sample_count,parse_success_rate,avg_latency,avg_confidence,avg_candidates,HR@10,NDCG@10,MRR,coverage@10,head_exposure_ratio@10,longtail_coverage@10,out_of_candidate_rate,samples,coverage,head_exposure_ratio,longtail_coverage,compare_subset_event_count,total_ranking_event_count,pairwise_supported_event_fraction,avg_uncertainty_coverage_rate,uncertainty_coverage,changed_ranking_fraction,avg_position_shift,pairwise_pair_coverage_rate,pairwise_supported_candidate_fraction,pairwise_avg_reliability_weight,family,pairwise_aggregation_variant,prior_weight,loss_weight,score_scale,base_exp_name,rerank_exp_name,pairwise_exp_name,uncertainty_exp_name,evaluation_scope,uncertainty_source
direct_candidate_ranking,500,0.994,7.224753499600105,0.7472000000000001,6.0,0.998,0.6419210432266884,0.5279623188405796,1.0082417582417582,0.20905459387483355,1.0,0.006,500,1.0082417582417582,0.20905459387483355,1.0,500.0,973.0,0.513874614594039,,,0.0,0.0,,,,direct_candidate_ranking,,,,,beauty_deepseek_rank_full973,beauty_deepseek_rank_full973,beauty_deepseek_pairwise_coverage_full500,beauty_deepseek_pointwise_full,pairwise_event_overlap_subset,
pairwise_to_rank_weighted_win_count,500,1.0,7.224753499600105,0.6580272138067402,6.0,1.0,0.7669470017331042,0.6983333333333334,1.0,0.20966666666666667,1.0,0.0,500,1.0,0.20966666666666667,1.0,500.0,973.0,0.513874614594039,0.504,0.504,0.926,0.961,0.06666666666666665,0.33333333333333326,0.6580272138067402,pairwise_to_rank,weighted_win_count,0.2,1.0,1.0,beauty_deepseek_rank_full973,beauty_deepseek_pairwise_coverage_full500_to_rank,beauty_deepseek_pairwise_coverage_full500,beauty_deepseek_pointwise_full,pairwise_event_overlap_subset,pointwise_calibrated
