popularity_group,fraction,method
mid,0.4140705237932215,direct_candidate_ranking
tail,0.36990756590208834,direct_candidate_ranking
head,0.2141389934953783,direct_candidate_ranking
unknown,0.0018829168093118796,direct_candidate_ranking
mid,0.41503939705378556,uncertainty_aware_rank_rerank_nonlinear_structured_risk_rerank
tail,0.37050359712230213,uncertainty_aware_rank_rerank_nonlinear_structured_risk_rerank
head,0.2144570058239123,uncertainty_aware_rank_rerank_nonlinear_structured_risk_rerank
