method,sample_count,parse_success_rate,avg_latency,avg_confidence,avg_candidates,HR@10,NDCG@10,MRR,coverage@10,head_exposure_ratio@10,longtail_coverage@10,out_of_candidate_rate,samples,coverage,head_exposure_ratio,longtail_coverage,avg_uncertainty_coverage_rate,uncertainty_coverage,changed_ranking_fraction,avg_position_shift,local_swap_event_fraction,lambda_penalty,lambda,uncertainty_source,rerank_variant,gate_topk,tau,gamma,alpha,beta,delta,coverage_fallback_scale,eta,m_rel,m_unc,swap_a,swap_b
direct_candidate_ranking,973,0.9948612538540597,6.937592385097693,0.7496402877697842,6.0,0.998972250770812,0.6351559835664434,0.5187541891952276,1.0093776641091219,0.2141389934953783,1.0,0.0051387461459403904,973,1.0093776641091219,0.2141389934953783,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,
uncertainty_aware_rank_rerank_nonlinear_structured_risk_rerank,973,0.9948612538540597,6.937592385097693,0.7496402877697842,6.0,1.0,0.6355933223424297,0.5189962315861597,1.0,0.2144570058239123,1.0,0.0051387461459403904,973,1.0,0.2144570058239123,1.0,0.5005138746145941,0.5005138746145941,0.0041109969167523125,0.0006851661527920521,0.0,0.5,0.5,pointwise_calibrated,nonlinear_structured_risk_rerank,3.0,0.35,2.0,1.0,0.7,0.5,0.5,0.02,0.05,0.15,1.5,1.0
