target_popularity_group,num_samples,avg_confidence,median_confidence,avg_accuracy,high_conf_fraction,wrong_high_conf_fraction
head,3,0.3,0.1,1.0,0.0,0.0
mid,3,0.3333333333333333,0.1,1.0,0.3333333333333333,0.0
tail,3,0.38333333333333336,0.2,1.0,0.3333333333333333,0.0
