target_popularity_group,overall_fraction,high_conf_fraction,exposure_shift
head,0.3333333333333333,0.0,-0.3333333333333333
mid,0.3333333333333333,0.5,0.16666666666666669
tail,0.3333333333333333,0.5,0.16666666666666669
