domain,teacher_signal,num_samples,accuracy,avg_confidence,avg_correctness,brier_score,ece,mce,auroc,srpd_observed_role,source_file
beauty,deepseek_pointwise_uncertainty,5838,0.6565604659129839,0.7494552929085304,0.6565604659129839,0.26432216512504286,0.21877697841726612,0.8051282051282052,0.6184730581581528,positive-domain distillation evidence,outputs/beauty_deepseek_pointwise_full/tables/diagnostic_metrics.csv
books,deepseek_pointwise_uncertainty,3000,0.8363333333333334,0.7915800000000001,0.8363333333333334,0.13713419999999998,0.044753333333333443,0.875,0.667293060663891,positive-domain distillation evidence,outputs/books_deepseek_pointwise_full3000/tables/diagnostic_metrics.csv
electronics,deepseek_pointwise_uncertainty,3000,0.7623333333333333,0.7306266666666668,0.7623333333333333,0.23954340000000002,0.18766,0.7613207547169812,0.6106427511803713,repair-domain evidence; direct-anchor worked better than preference v6 so far,outputs/electronics_deepseek_pointwise_full3000/tables/diagnostic_metrics.csv
movies,deepseek_pointwise_uncertainty,3000,0.7383333333333333,0.5506133333333334,0.7383333333333333,0.2978792,0.2618533333333333,0.7514851485148515,0.43319060833057754,failure-boundary evidence; low teacher reliability / weak AUROC warning,outputs/movies_deepseek_pointwise_full3000/tables/diagnostic_metrics.csv
