domain,scope,method,winner_by_ndcg,sample_count,parse_success_rate,avg_latency,avg_confidence,avg_candidates,HR@10,NDCG@10,MRR,coverage@10,head_exposure_ratio@10,longtail_coverage@10,out_of_candidate_rate,robustness_role,source_type,source_file
beauty,full973,direct,no,973,0.9948612538540597,2.103509309511774,-0.15077081192189104,6.0,1.0,0.6140307799644382,0.4899990211912103,1.0042625745950555,0.21657707646956822,1.0,0.0051387461459403904,non_uncertainty decision baseline,ranking_metrics,server_sync/week7_20260421/week7_7_four_domain_final/beauty_qwen3_local_rank_full973/tables/ranking_metrics.csv
beauty,full973,structured_risk,no,973,0.9948612538540597,2.103509309511774,-0.15077081192189104,6.0,1.0,0.6140777971356092,0.4900479616306954,1.0,0.2144570058239123,1.0,0.0051387461459403904,hand-crafted uncertainty-aware ranking baseline,rerank_results,server_sync/week7_20260421/week7_7_four_domain_final/beauty_qwen3_local_structured_risk_full973/tables/rerank_results.csv
beauty,full973,SRPD-v1,no,973,1.0,1.600240313150094,-1.0,6.0,1.0,0.6261187576622534,0.5064576909900651,1.0,0.2144570058239123,1.0,0.0,plain structured-risk teacher SFT ablation,ranking_metrics,server_sync/week7_20260421/week7_7_four_domain_final/beauty_qwen3_rank_srpd_v1_full973/tables/ranking_metrics.csv
beauty,full973,SRPD-v2,yes,973,0.998972250770812,1.6523105281552675,-1.0,6.0,1.0,0.6353658182685563,0.518448098663926,1.000852514919011,0.2144570058239123,1.0,0.0010277492291880781,uncertainty-weighted trainable distillation,ranking_metrics,server_sync/week7_20260421/week7_7_four_domain_final/beauty_qwen3_rank_srpd_v2_full973/tables/ranking_metrics.csv
beauty,full973,SRPD-v3,no,973,0.998972250770812,1.6616642134129989,-1.0,6.0,1.0,0.623807033106589,0.503357314148681,1.000852514919011,0.21449374678773342,1.0,0.0010277492291880781,pairwise-support retained ablation,ranking_metrics,server_sync/week7_20260421/week7_7_four_domain_final/beauty_qwen3_rank_srpd_v3_full973/tables/ranking_metrics.csv
beauty,full973,SRPD-v4,no,973,1.0,1.618391732038762,-1.0,6.0,1.0,0.6257765233847018,0.5061322370674889,1.0,0.21449374678773342,1.0,0.0,gap-gated repair ablation against v2,ranking_metrics,server_sync/week7_20260421/week7_7_four_domain_final/beauty_qwen3_rank_srpd_v4_full973/tables/ranking_metrics.csv
beauty,full973,SRPD-v5,no,973,1.0,1.5719773293046768,-1.0,6.0,1.0,0.6249916383815426,0.5051901336073998,1.0,0.21432242590371767,1.0,0.0,direct-anchor repair ablation against v4,ranking_metrics,server_sync/week7_20260421/week7_7_four_domain_final/beauty_qwen3_rank_srpd_v5_full973/tables/ranking_metrics.csv
books,small500,direct,no,500,0.998,2.170037612078013,-0.376,6.0,1.0,0.6398271002354915,0.5239000000000001,0.9989994997498749,0.2063439065108514,1.0,0.002,non_uncertainty decision baseline,ranking_metrics,server_sync/week7_20260421/week7_7_four_domain_final/books_qwen3_local_rank_small500/tables/ranking_metrics.csv
books,small500,structured_risk,no,500,0.998,2.170037612078013,-0.376,6.0,1.0,0.6395142413461731,0.5235,1.0,0.206,1.0,0.002,hand-crafted uncertainty-aware ranking baseline,rerank_results,server_sync/week7_20260421/week7_7_four_domain_final/books_qwen3_local_structured_risk_small500/tables/rerank_results.csv
books,small500,SRPD-v2,yes,500,0.998,1.7514257502777035,-1.0,6.0,1.0,0.7057074243106245,0.6117666666666667,1.0,0.206,0.9987261146496815,0.002,uncertainty-weighted trainable distillation,ranking_metrics,server_sync/week7_20260421/week7_7_four_domain_final/books_qwen3_rank_srpd_v2_small500/tables/ranking_metrics.csv
