method,sample_count,parse_success_rate,avg_latency,avg_confidence,avg_candidates,HR@10,NDCG@10,MRR,coverage@10,head_exposure_ratio@10,longtail_coverage@10,out_of_candidate_rate,samples,coverage,head_exposure_ratio,longtail_coverage,avg_uncertainty_coverage_rate,uncertainty_coverage,changed_ranking_fraction,avg_position_shift,local_swap_event_fraction,lambda_penalty,lambda,uncertainty_source,rerank_variant,gate_topk,tau,gamma,alpha,beta,delta,coverage_fallback_scale,eta,m_rel,m_unc,swap_a,swap_b
direct_candidate_ranking,500,1.0,3.1594722128002175,0.0,6.0,1.0,0.6805537995985784,0.5772999999999999,0.9994603345925526,0.22874291430476826,0.9986149584487535,0.0,500,0.9994603345925526,0.22874291430476826,0.9986149584487535,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,
uncertainty_aware_rank_rerank_nonlinear_structured_risk_rerank,500,1.0,3.1594722128002175,0.0,6.0,1.0,0.6805537995985784,0.5772999999999999,1.0,0.22866666666666666,1.0,0.0,500,1.0,0.22866666666666666,1.0,0.5,0.5,0.002,0.0,0.0,0.5,0.5,pointwise_calibrated,nonlinear_structured_risk_rerank,3.0,0.35,2.0,1.0,0.7,0.5,0.5,0.02,0.05,0.15,1.5,1.0
