target_popularity_group,overall_fraction,high_conf_fraction,exposure_shift
head,0.206,0.1699766355140187,-0.036023364485981285
mid,0.41433333333333333,0.44509345794392524,0.03076012461059191
tail,0.37966666666666665,0.38492990654205606,0.005263239875389403
