metric,before,after
num_samples,3.0,3.0
accuracy,1.0,1.0
avg_confidence,0.8666666666666667,1.0
avg_correctness,1.0,1.0
brier_score,0.48666666666666675,0.6666666666666666
ece,0.5333333333333333,0.6666666666666667
mce,0.8,0.6666666666666667
auroc,0.75,0.5
