method,parse_success_rate,NDCG@10,MRR,HR@1,HR@3,NDCG@3,NDCG@5,notes
qwen_lora_day6_small,0.8672,0.5683,0.4158,0.2422,0.4531,0.3610,0.4823,"Day6 LoRA small; HR@10 trivial for 5neg candidate pool"
random_ranking,1.0,0.5505,0.4076,0.1563,0.5156,0.3615,0.4892,"Random ranking on same 128 samples; HR@10 trivial"
