split,label,count,p_true_mean,p_true_std,p_true_q05,p_true_q25,p_true_q50,p_true_q75,p_true_q95,decision_confidence_mean,decision_confidence_std
valid,0,166,0.12609318898294322,0.17119847887324843,0.01265128013067617,0.026215348003583366,0.060102384255030915,0.13060203099430476,0.5447714703395072,0.8935125856380883,0.11942808479535011
valid,1,34,0.27854494267486046,0.30255812542322386,0.008579231069161019,0.03752697057177056,0.1296967891572282,0.4568812088113826,0.8759739045885757,0.8528570046114851,0.1267899679434713
test,0,166,0.11680863506113459,0.1335730137028622,0.010522730757479396,0.02856909909864241,0.05554360108251928,0.14966416647984468,0.44624588055334247,0.8858458833532622,0.1256993494522406
test,1,34,0.21756752893475462,0.2732500260937912,0.015230082163164597,0.03194869210814673,0.10642439285636869,0.2420060878605928,0.8423415365196579,0.8748574432250821,0.11796429430566109
