target,split,score_type,ECE,Brier,AUROC,mean_score,std_score,calibration_method,status,fallback_reason,delta_ECE_vs_raw,delta_Brier_vs_raw
positive_relevance_score_to_label,test,raw,0.11125464997727197,0.1429006312394226,0.5887668320340185,0.13393764701965,0.17010084593581187,none,ok,,,
positive_relevance_score_to_label,test,logistic_calibrated,0.034089472091289215,0.1345724812871104,0.5887668320340185,0.1637869353279871,0.04952152181232909,logistic,ok,,-0.07716517788598276,-0.00832814995231218
positive_relevance_score_to_label,test,isotonic_calibrated,0.0485107989347394,0.1295139427564636,0.6075478384124734,0.16509575844230978,0.13736832202769877,isotonic,ok,,-0.06274385104253258,-0.013386688482958986
decision_confidence_to_correctness,test,raw,0.0847636449604948,0.1429006312394226,0.5965627214741318,0.8839778485314717,0.12448676995862419,none,ok,,,
decision_confidence_to_correctness,test,logistic_calibrated,0.03629381237551008,0.13772766390758376,0.5965627214741318,0.8192367779635493,0.034548735794861826,logistic,ok,,-0.04846983258498471,-0.005172967331838835
decision_confidence_to_correctness,test,isotonic_calibrated,0.06452650849098084,0.1407543881494453,0.6141920623671155,0.8154734915090192,0.14184927449602855,isotonic,ok,,-0.02023713646951396,-0.0021462430899772955
