split,num_rows,num_valid_rows,parse_success_rate,schema_valid_rate,accuracy,ECE,Brier,AUROC,recommend_true_rate,recommend_false_rate,recommend_true_rate_label_1,recommend_true_rate_label_0,recommend_false_rate_label_1,recommend_false_rate_label_0,confidence_mean,confidence_std,confidence_unique_count,confidence_min,confidence_max,confidence_at_1_rate,confidence_ge_0.9_rate,confidence_ge_0.97_rate,confidence_by_recommend_true_mean,confidence_by_recommend_false_mean,confidence_by_correct_mean,confidence_by_wrong_mean,confidence_gap_correct_minus_wrong,decision_basis_valid_rate,decision_basis_distribution,decision_basis_by_label,decision_basis_by_recommend,decision_basis_by_correctness
valid,200,200,1.0,1.0,0.755,0.0740499999999999,0.19768249999999998,0.25922421948912017,0.205,0.795,0.38235294117647056,0.1686746987951807,0.6176470588235294,0.8313253012048193,0.82875,0.018866305944725915,3,0.82,0.97,0.0,0.005,0.005,0.8626829268292683,0.82,0.8241721854304636,0.8428571428571429,-0.018684957426679305,1.0,"{""insufficient_information"": 0, ""strong_match"": 41, ""unrelated"": 159, ""weak_match"": 0}","{""0"": {""strong_match"": 28, ""unrelated"": 138}, ""1"": {""strong_match"": 13, ""unrelated"": 21}}","{""False"": {""unrelated"": 159}, ""True"": {""strong_match"": 41}}","{""0"": {""strong_match"": 28, ""unrelated"": 21}, ""1"": {""strong_match"": 13, ""unrelated"": 138}}"
test,200,200,1.0,1.0,0.785,0.04244999999999999,0.1761945,0.29558583913494296,0.165,0.835,0.35294117647058826,0.12650602409638553,0.6470588235294118,0.8734939759036144,0.8271499999999999,0.01781509191668683,3,0.82,0.97,0.0,0.005,0.005,0.8633333333333333,0.82,0.8237579617834394,0.8395348837209302,-0.015776921937490807,1.0,"{""insufficient_information"": 0, ""strong_match"": 33, ""unrelated"": 167, ""weak_match"": 0}","{""0"": {""strong_match"": 21, ""unrelated"": 145}, ""1"": {""strong_match"": 12, ""unrelated"": 22}}","{""False"": {""unrelated"": 167}, ""True"": {""strong_match"": 33}}","{""0"": {""strong_match"": 21, ""unrelated"": 22}, ""1"": {""strong_match"": 12, ""unrelated"": 145}}"
