split,num_rows,num_users,parse_success_rate,positive_label_rate,recommend_true_rate,AUROC,Brier,ECE,accuracy_at_threshold_0.5,f1_at_threshold_0.5,balanced_accuracy_at_threshold_0.5,AUROC_for_correctness,ECE_for_correctness,Brier_for_correctness,high_conf_error_rate,score_mean,score_std,confidence_mean,confidence_std,unique_count
valid,600,100,1.0,0.16666666666666666,0.06166666666666667,0.58676,0.15853333333333333,0.15533333333333335,0.8316666666666667,0.26277372262773724,0.571,0.5497827337844005,0.14933333333333332,0.15853333333333333,0.15,0.066,0.2225099248722777,0.981,0.08065771300171277,5
test,600,100,1.0,0.16666666666666666,0.05,0.53713,0.1706,0.17099999999999999,0.8166666666666667,0.15384615384615383,0.53,0.5564192949907235,0.1603333333333333,0.1706,0.16166666666666665,0.05633333333333333,0.19517485038350157,0.977,0.08604843597261565,6
