split,num_rows,num_valid_rows,parse_success_rate,schema_valid_rate,positive_label_rate,recommend_true_rate,accuracy_at_threshold_0.5,relevance_AUROC,relevance_Brier,relevance_ECE,positive_relevance_score_mean,positive_relevance_score_std,positive_relevance_score_min,positive_relevance_score_max,positive_relevance_score_unique_count,AUROC_for_correctness,Brier_for_correctness,ECE_for_correctness,high_conf_error_rate,confidence_mean,confidence_std,confidence_min,confidence_max,confidence_unique_count,mean_logit_margin,std_logit_margin
valid,200,200,1.0,1.0,0.17,0.09,0.82,0.6557406094968108,0.14156958075535198,0.11011941988190631,0.15200998711056915,0.2077686816713461,0.006117442033966106,0.9847026388436217,200,0.6737804878048781,0.14156958075535198,0.07388929596208713,0.11,0.8866011368635658,0.12167347751270159,0.5008274793520868,0.993882557966034,200,-2.411279201488942,1.5932671055240906
test,200,200,1.0,1.0,0.17,0.04,0.83,0.5887668320340185,0.1429006312394226,0.11125464997727197,0.13393764701965,0.17010084593581187,0.0058534481738189694,0.9631870488467877,200,0.5965627214741318,0.1429006312394226,0.0847636449604948,0.11,0.8839778485314717,0.12448676995862419,0.5094134374789216,0.9941465518261811,200,-2.4824958844855427,1.4379977512518032
