target_popularity_group,overall_fraction,high_conf_fraction,exposure_shift
head,0.22866666666666666,0.2012121212121212,-0.027454545454545454
mid,0.4,0.39090909090909093,-0.009090909090909094
tail,0.37133333333333335,0.4078787878787879,0.03654545454545455
